row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain,dataset_name,normalized_points
10967,,216,the mana travels to the ribosomes. at the ribosomes the mana is copied so that is can be used to create proteins.the copies mana is then used as instructions to create proteins.the proteins are made using the instructions given,first the mana attaches to a ribosome and then the ribosome reads the mana in segments of three called coons for each colony there is a complementary amino acid secondly tuna picks up the needed amino acids and brings them to the ribosome. third the amino acids attach to each other and form a chain of amino acids according to the way in which the coons are read on the mana strand by the ribosome. the chain continues to form until the ribosome reaches the stop colon on the mana strand lastly the ribosome disconnects from the mana strand and the protein is released to perform its job in the cell,1,3.0,biology,ASAP_sas,0.3333333333333333
10968,,216,at is created and broken donit is broken down when 2 phosphate groups don't connect with the third causing adp.adp can make at again by remaking itself,first the mana attaches to a ribosome and then the ribosome reads the mana in segments of three called coons for each colony there is a complementary amino acid secondly tuna picks up the needed amino acids and brings them to the ribosome. third the amino acids attach to each other and form a chain of amino acids according to the way in which the coons are read on the mana strand by the ribosome. the chain continues to form until the ribosome reaches the stop colon on the mana strand lastly the ribosome disconnects from the mana strand and the protein is released to perform its job in the cell,0,3.0,biology,ASAP_sas,0.0
10969,,216,the mana first gets on an electron transport chain,first the mana attaches to a ribosome and then the ribosome reads the mana in segments of three called coons for each colony there is a complementary amino acid secondly tuna picks up the needed amino acids and brings them to the ribosome. third the amino acids attach to each other and form a chain of amino acids according to the way in which the coons are read on the mana strand by the ribosome. the chain continues to form until the ribosome reaches the stop colon on the mana strand lastly the ribosome disconnects from the mana strand and the protein is released to perform its job in the cell,0,3.0,biology,ASAP_sas,0.0
10970,,216,"the mana then travels to the mitochondrial where it is then copied.then one mana goes to the nucleus while the other goes to the ribosomes, where it transfers its information to the organelle. the organelle then reads the information and makes proteins",first the mana attaches to a ribosome and then the ribosome reads the mana in segments of three called coons for each colony there is a complementary amino acid secondly tuna picks up the needed amino acids and brings them to the ribosome. third the amino acids attach to each other and form a chain of amino acids according to the way in which the coons are read on the mana strand by the ribosome. the chain continues to form until the ribosome reaches the stop colon on the mana strand lastly the ribosome disconnects from the mana strand and the protein is released to perform its job in the cell,0,3.0,biology,ASAP_sas,0.0
10971,,216,first thing the mana does is go to the ribosome. next the tuna comes and decodes the first three nucleotides then the tuna brings over the amino acid that matches the colony last the tuna shifts over and the amino acids form peptide bonds with one another,first the mana attaches to a ribosome and then the ribosome reads the mana in segments of three called coons for each colony there is a complementary amino acid secondly tuna picks up the needed amino acids and brings them to the ribosome. third the amino acids attach to each other and form a chain of amino acids according to the way in which the coons are read on the mana strand by the ribosome. the chain continues to form until the ribosome reaches the stop colon on the mana strand lastly the ribosome disconnects from the mana strand and the protein is released to perform its job in the cell,2,3.0,biology,ASAP_sas,0.6666666666666666
10972,,216,goes to the er then gold body,first the mana attaches to a ribosome and then the ribosome reads the mana in segments of three called coons for each colony there is a complementary amino acid secondly tuna picks up the needed amino acids and brings them to the ribosome. third the amino acids attach to each other and form a chain of amino acids according to the way in which the coons are read on the mana strand by the ribosome. the chain continues to form until the ribosome reaches the stop colon on the mana strand lastly the ribosome disconnects from the mana strand and the protein is released to perform its job in the cell,1,3.0,biology,ASAP_sas,0.3333333333333333
10973,,216,messenger ran collect the protein partials inside the nucleus of the cell the the transport ran comes by to collect those proteins in that cell and takes them to anothe cell in the body so that that part of the body can absorb those protein and use tem in the function of protein synthesis,first the mana attaches to a ribosome and then the ribosome reads the mana in segments of three called coons for each colony there is a complementary amino acid secondly tuna picks up the needed amino acids and brings them to the ribosome. third the amino acids attach to each other and form a chain of amino acids according to the way in which the coons are read on the mana strand by the ribosome. the chain continues to form until the ribosome reaches the stop colon on the mana strand lastly the ribosome disconnects from the mana strand and the protein is released to perform its job in the cell,0,3.0,biology,ASAP_sas,0.0
10974,,216,translation the amino acid code is translatedtranscription- the amino acid code is readsynthesis-the protein is made introduction the code is given,first the mana attaches to a ribosome and then the ribosome reads the mana in segments of three called coons for each colony there is a complementary amino acid secondly tuna picks up the needed amino acids and brings them to the ribosome. third the amino acids attach to each other and form a chain of amino acids according to the way in which the coons are read on the mana strand by the ribosome. the chain continues to form until the ribosome reaches the stop colon on the mana strand lastly the ribosome disconnects from the mana strand and the protein is released to perform its job in the cell,0,3.0,biology,ASAP_sas,0.0
10975,,216,1. the mana takes the copied information out into the cytoplasm.2. there tuna brings in nucleotides to pair up with the mana order to make a copy of the dna strand.3. an amino acid is then paired up with each set of three nucleotides.4. once the process is completed it is used to make a protein,first the mana attaches to a ribosome and then the ribosome reads the mana in segments of three called coons for each colony there is a complementary amino acid secondly tuna picks up the needed amino acids and brings them to the ribosome. third the amino acids attach to each other and form a chain of amino acids according to the way in which the coons are read on the mana strand by the ribosome. the chain continues to form until the ribosome reaches the stop colon on the mana strand lastly the ribosome disconnects from the mana strand and the protein is released to perform its job in the cell,0,3.0,biology,ASAP_sas,0.0
10976,,216,first the mana leaves the cell nucleus and moves to the ribosome where tuna finds complementary bases,first the mana attaches to a ribosome and then the ribosome reads the mana in segments of three called coons for each colony there is a complementary amino acid secondly tuna picks up the needed amino acids and brings them to the ribosome. third the amino acids attach to each other and form a chain of amino acids according to the way in which the coons are read on the mana strand by the ribosome. the chain continues to form until the ribosome reaches the stop colon on the mana strand lastly the ribosome disconnects from the mana strand and the protein is released to perform its job in the cell,1,3.0,biology,ASAP_sas,0.3333333333333333
10977,,216,the mana brings the protein to another place in the cell via the gold apperatus.an amino acid forms the protein.the protein begins to form in the smooth ectoplasmic reticlium.the protein is refined in the rough ectoplasmic reticlium.,first the mana attaches to a ribosome and then the ribosome reads the mana in segments of three called coons for each colony there is a complementary amino acid secondly tuna picks up the needed amino acids and brings them to the ribosome. third the amino acids attach to each other and form a chain of amino acids according to the way in which the coons are read on the mana strand by the ribosome. the chain continues to form until the ribosome reaches the stop colon on the mana strand lastly the ribosome disconnects from the mana strand and the protein is released to perform its job in the cell,0,3.0,biology,ASAP_sas,0.0
10978,,216,mana leaves the nucleus then it enters the cytoplasm and proceeds to the era,first the mana attaches to a ribosome and then the ribosome reads the mana in segments of three called coons for each colony there is a complementary amino acid secondly tuna picks up the needed amino acids and brings them to the ribosome. third the amino acids attach to each other and form a chain of amino acids according to the way in which the coons are read on the mana strand by the ribosome. the chain continues to form until the ribosome reaches the stop colon on the mana strand lastly the ribosome disconnects from the mana strand and the protein is released to perform its job in the cell,1,3.0,biology,ASAP_sas,0.3333333333333333
10979,,216,1. the mana leaves the nucleus.2. the mana transports to the reticulum.3. the mana hooks onto a dna.4. the mana is transported by the tuna back to the nucleus,first the mana attaches to a ribosome and then the ribosome reads the mana in segments of three called coons for each colony there is a complementary amino acid secondly tuna picks up the needed amino acids and brings them to the ribosome. third the amino acids attach to each other and form a chain of amino acids according to the way in which the coons are read on the mana strand by the ribosome. the chain continues to form until the ribosome reaches the stop colon on the mana strand lastly the ribosome disconnects from the mana strand and the protein is released to perform its job in the cell,1,3.0,biology,ASAP_sas,0.3333333333333333
10980,,216,"anaphase, metaphasic prophase, telophase",first the mana attaches to a ribosome and then the ribosome reads the mana in segments of three called coons for each colony there is a complementary amino acid secondly tuna picks up the needed amino acids and brings them to the ribosome. third the amino acids attach to each other and form a chain of amino acids according to the way in which the coons are read on the mana strand by the ribosome. the chain continues to form until the ribosome reaches the stop colon on the mana strand lastly the ribosome disconnects from the mana strand and the protein is released to perform its job in the cell,0,3.0,biology,ASAP_sas,0.0
