row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain,dataset_name,normalized_points
4918,,214,china's panda and australia's koala are two animals that arent predator pandas eat bamboo and koalas eat eucalyptus leaves therefore they are harmless they are both different from pythons because pythons are potential dangerous considering they can swallow an entire alligator you could conceivably have pythons shacking unto the potomac,pandas in china and koalas in australia are similar because they are specialists and only eat one food they are both different from pythons because pythons are generalists. the python can live almost anywhere and eat a variety of things pandas can only eat nothing but bamboo and koalas can only eat eucalyptus leaves almost exclusively,1,2.0,english_language_arts,ASAP_sas,0.5
4919,,214,pandas and koalas are similar because they are both described as specialist animals because they only eat one food exclusively no change the panda and koala bears a different from the pythons because because pythons are generals animals that migrate and can adapt to the climates in the lower states while the panda and koala bears cannot,pandas in china and koalas in australia are similar because they are specialists and only eat one food they are both different from pythons because pythons are generalists. the python can live almost anywhere and eat a variety of things pandas can only eat nothing but bamboo and koalas can only eat eucalyptus leaves almost exclusively,2,2.0,english_language_arts,ASAP_sas,1.0
4920,,214,pandas in china and koalas in australia are similar because they both only feed on one thing pandas eat bamboo and koalas eucalyptus leaves unlike pythons which eat just about everything including aligators,pandas in china and koalas in australia are similar because they are specialists and only eat one food they are both different from pythons because pythons are generalists. the python can live almost anywhere and eat a variety of things pandas can only eat nothing but bamboo and koalas can only eat eucalyptus leaves almost exclusively,1,2.0,english_language_arts,ASAP_sas,0.5
4921,,214,pandas in china only eat bamboo and koalas in australia eat exclusively eucalyptus leaves they are both restricted to one food while pythons eat a variety of foods potentially harming native species,pandas in china and koalas in australia are similar because they are specialists and only eat one food they are both different from pythons because pythons are generalists. the python can live almost anywhere and eat a variety of things pandas can only eat nothing but bamboo and koalas can only eat eucalyptus leaves almost exclusively,2,2.0,english_language_arts,ASAP_sas,1.0
4922,,214,pandas in china and koalas from australia are similar because they are both specialist they both are different from a python because a python is a generalist.,pandas in china and koalas in australia are similar because they are specialists and only eat one food they are both different from pythons because pythons are generalists. the python can live almost anywhere and eat a variety of things pandas can only eat nothing but bamboo and koalas can only eat eucalyptus leaves almost exclusively,0,2.0,english_language_arts,ASAP_sas,0.0
4923,,214,panda's are similar to koalas because they are both specialists and a python is a generalist.,pandas in china and koalas in australia are similar because they are specialists and only eat one food they are both different from pythons because pythons are generalists. the python can live almost anywhere and eat a variety of things pandas can only eat nothing but bamboo and koalas can only eat eucalyptus leaves almost exclusively,1,2.0,english_language_arts,ASAP_sas,0.5
4924,,214,panda's are similar to koalas by they are both specialist species they only survive in certain conditions they are not able to adapt very well and can only eat and live in certain climates they are both different form pythons by they are not reptiles also a python is a generals specie and can easily adapt to change they eat a variety of foods and accept change,pandas in china and koalas in australia are similar because they are specialists and only eat one food they are both different from pythons because pythons are generalists. the python can live almost anywhere and eat a variety of things pandas can only eat nothing but bamboo and koalas can only eat eucalyptus leaves almost exclusively,2,2.0,english_language_arts,ASAP_sas,1.0
4925,,214,pandas in china are similar to koalas in australia because they both are specialist in the article it states that koala bears & pandas eat mainly one type of food koalas eat eucalyptus leaves while pandas each bamboo they are both different from pythons because pythons are generalists. and like stated in the article they can adapt to anything,pandas in china and koalas in australia are similar because they are specialists and only eat one food they are both different from pythons because pythons are generalists. the python can live almost anywhere and eat a variety of things pandas can only eat nothing but bamboo and koalas can only eat eucalyptus leaves almost exclusively,1,2.0,english_language_arts,ASAP_sas,0.5
4926,,214,pandas and koalas are similar because they eat mainly one type of food for them pandas eat bamboo and koalas eat eucalyptus leaves they differ from a python because pythons can eat just about anything...one even attempted an alligator,pandas in china and koalas in australia are similar because they are specialists and only eat one food they are both different from pythons because pythons are generalists. the python can live almost anywhere and eat a variety of things pandas can only eat nothing but bamboo and koalas can only eat eucalyptus leaves almost exclusively,2,2.0,english_language_arts,ASAP_sas,1.0
4927,,214,pandas are similar to koalas due to their very much a like eating habitsthey both eat bamboo and occasional bugs pythons on the other hands aren't mammals like pandas & koalas & eat mostly rodents,pandas in china and koalas in australia are similar because they are specialists and only eat one food they are both different from pythons because pythons are generalists. the python can live almost anywhere and eat a variety of things pandas can only eat nothing but bamboo and koalas can only eat eucalyptus leaves almost exclusively,0,2.0,english_language_arts,ASAP_sas,0.0
