row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain,dataset_name,normalized_points
0," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,an artificial neural network is a massively parallel distributed processor with simple processing units that has the natural propensity to store experiential knowledge and make use of them an artificial neural network is similar to the human brain in two ways 1. the ann works by the process of learning from its environment 2. interferon connections called synaptic weights are used to store the knowledge gained,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2,2.0,neural_networks,neural_course,1.0
1," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,artificial neural network consists of . largely parallel distributed processor . simple processing units . that has ability to store the experiential knowledge and making it available to use it resembles to human brain in two ways . knowledge is acquired from the environment by the network as learning process . synaptic strengths called weights are used to store the knowledge,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2,2.0,neural_networks,neural_course,1.0
2," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,an artificial neural network is a massive distributed processor it consists of several information processing units which are able to acquire and store knowledge,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,1,2.0,neural_networks,neural_course,0.5
3," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,an ann is a layered graphical model containing neurons and weighted connections resembling the excitatory properties of the human brain weights of the ann are changed after presenting it training examples from an environment where weights are changed based on the training procedure used artificial neurons also are biased just like real ones adding a constant level of activation before being activated by a nonlinear activation function depending on the training procedure both weights topology or even activation functions may be learned,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2,2.0,neural_networks,neural_course,1.0
4," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,artificial neural networks are large parallel processing units that have the natural ability to learn experiential knowledge they are composed of interconnected neurons as basic units which in turn consists of weights squashing functions and adder functions ann resembles brain in the manner that like in human brain it is composed of a network of neurons which help in learning by adjusting the synaptic weights of the connections between neurons this enables it to learn experiential knowledge,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2,2.0,neural_networks,neural_course,1.0
5," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,an artificial neural network consists of neurons each neuron can have several weighted inputs an activation function and output usually several neurons are connected together often in layers the network then calculates the output given an input to the network the human brain works in a similar way it also consists of neurons that are connected in several ways,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,1,2.0,neural_networks,neural_course,0.5
6," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,an ann is a - massively parallel distributed processor - made up of simple processing units - which have the capability of storing experimental knowledge - and is made up for used an ann resembles the brain because i it gets its knowledge through a learning process from its environment i it stores its knowledge in its interferon connections synaptic weights,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2,2.0,neural_networks,neural_course,1.0
7," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,a ann is a massively distributed processor it has the propensity to store experimental knowledge and make it available for used the knowledge is gained throug a process of learning the knowledge is stored in the weights between the neurons this structure resembles the structure of the brain neurons are a the basic information unit in the ann and act similar to real neurons,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2,2.0,neural_networks,neural_course,1.0
8," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,an artificial neural network is defined as a learning machine which is divided by layers and each layer is composed by neurons the neurons from different layers can be connected between each other and give an output or multiple outputs by a given input this structure is very similar with the neurological structure of our brain where neurons are interconnected by synapses also important to mention if a feature is really important for a given task this wil have more connections and neurons participating like in the human brain the important human functions have more synapses,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2,2.0,neural_networks,neural_course,1.0
9," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,an artificial neural network is a graph of small and identical processing units that these small units called neurons and they are connected to each other in different architecture and the whole network adapt and itself to the environment inputs by trying to decrease the error or the cost function and increase its preciseness by manipulating the free variables of the network which are the synaptic weights it is similar to human brain because similar to the human brain we have many small processing units that are connected together and they react to the environment and learn from the environment,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2,2.0,neural_networks,neural_course,1.0
