row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain,dataset_name,normalized_points
0," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,"['artificial', 'neural', 'network', 'massively', 'parallel', 'distributed', 'processor', 'simple', 'processing', 'unit', 'natural', 'propensity', 'store', 'experiential', 'knowledge', 'make', 'use', 'artificial', 'neural', 'network', 'similar', 'human', 'brain', 'two', 'way', '1', 'ann', 'work', 'process', 'learning', 'environment', '2', 'interferon', 'connection', 'called', 'synaptic', 'weight', 'used', 'store', 'knowledge', 'gained']","['neural', 'network', 'massively', 'parallel', 'distributed', 'processor', 'made', 'simple', 'processing', 'unit', 'natural', 'propensity', 'storing', 'experiential', 'knowledge', 'neural', 'network', 'resemble', 'brain', 'two', 'aspect', 'knowledge', 'acquired', 'network', 'environment', 'learning', 'process', 'interferon', 'connection', 'strength', 'known', 'synaptic', 'weight', 'used', 'store', 'acquired', 'knowledge']",2,2.0,neural_networks,neural_course,1.0
1," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,"['artificial', 'neural', 'network', 'consists', 'largely', 'parallel', 'distributed', 'processor', 'simple', 'processing', 'unit', 'ability', 'store', 'experiential', 'knowledge', 'making', 'available', 'use', 'resembles', 'human', 'brain', 'two', 'way', 'knowledge', 'acquired', 'environment', 'network', 'learning', 'process', 'synaptic', 'strength', 'called', 'weight', 'used', 'store', 'knowledge']","['neural', 'network', 'massively', 'parallel', 'distributed', 'processor', 'made', 'simple', 'processing', 'unit', 'natural', 'propensity', 'storing', 'experiential', 'knowledge', 'neural', 'network', 'resemble', 'brain', 'two', 'aspect', 'knowledge', 'acquired', 'network', 'environment', 'learning', 'process', 'interferon', 'connection', 'strength', 'known', 'synaptic', 'weight', 'used', 'store', 'acquired', 'knowledge']",2,2.0,neural_networks,neural_course,1.0
2," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,"['artificial', 'neural', 'network', 'massive', 'distributed', 'processor', 'consists', 'several', 'information', 'processing', 'unit', 'able', 'acquire', 'store', 'knowledge']","['neural', 'network', 'massively', 'parallel', 'distributed', 'processor', 'made', 'simple', 'processing', 'unit', 'natural', 'propensity', 'storing', 'experiential', 'knowledge', 'neural', 'network', 'resemble', 'brain', 'two', 'aspect', 'knowledge', 'acquired', 'network', 'environment', 'learning', 'process', 'interferon', 'connection', 'strength', 'known', 'synaptic', 'weight', 'used', 'store', 'acquired', 'knowledge']",1,2.0,neural_networks,neural_course,0.5
3," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,"['ann', 'layered', 'graphical', 'model', 'containing', 'neuron', 'weighted', 'connection', 'resembling', 'excitatory', 'property', 'human', 'brain', 'weight', 'ann', 'changed', 'presenting', 'training', 'example', 'environment', 'weight', 'changed', 'based', 'training', 'procedure', 'used', 'artificial', 'neuron', 'also', 'biased', 'like', 'real', 'one', 'adding', 'constant', 'level', 'activation', 'activated', 'nonlinear', 'activation', 'function', 'depending', 'training', 'procedure', 'weight', 'topology', 'even', 'activation', 'function', 'may', 'learned']","['neural', 'network', 'massively', 'parallel', 'distributed', 'processor', 'made', 'simple', 'processing', 'unit', 'natural', 'propensity', 'storing', 'experiential', 'knowledge', 'neural', 'network', 'resemble', 'brain', 'two', 'aspect', 'knowledge', 'acquired', 'network', 'environment', 'learning', 'process', 'interferon', 'connection', 'strength', 'known', 'synaptic', 'weight', 'used', 'store', 'acquired', 'knowledge']",2,2.0,neural_networks,neural_course,1.0
4," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,"['artificial', 'neural', 'network', 'large', 'parallel', 'processing', 'unit', 'natural', 'ability', 'learn', 'experiential', 'knowledge', 'composed', 'interconnected', 'neuron', 'basic', 'unit', 'turn', 'consists', 'weight', 'squashing', 'function', 'adder', 'function', 'ann', 'resembles', 'brain', 'manner', 'like', 'human', 'brain', 'composed', 'network', 'neuron', 'help', 'learning', 'adjusting', 'synaptic', 'weight', 'connection', 'neuron', 'enables', 'learn', 'experiential', 'knowledge']","['neural', 'network', 'massively', 'parallel', 'distributed', 'processor', 'made', 'simple', 'processing', 'unit', 'natural', 'propensity', 'storing', 'experiential', 'knowledge', 'neural', 'network', 'resemble', 'brain', 'two', 'aspect', 'knowledge', 'acquired', 'network', 'environment', 'learning', 'process', 'interferon', 'connection', 'strength', 'known', 'synaptic', 'weight', 'used', 'store', 'acquired', 'knowledge']",2,2.0,neural_networks,neural_course,1.0
5," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,"['artificial', 'neural', 'network', 'consists', 'neuron', 'neuron', 'several', 'weighted', 'input', 'activation', 'function', 'output', 'usually', 'several', 'neuron', 'connected', 'together', 'often', 'layer', 'network', 'calculates', 'output', 'given', 'input', 'network', 'human', 'brain', 'work', 'similar', 'way', 'also', 'consists', 'neuron', 'connected', 'several', 'way']","['neural', 'network', 'massively', 'parallel', 'distributed', 'processor', 'made', 'simple', 'processing', 'unit', 'natural', 'propensity', 'storing', 'experiential', 'knowledge', 'neural', 'network', 'resemble', 'brain', 'two', 'aspect', 'knowledge', 'acquired', 'network', 'environment', 'learning', 'process', 'interferon', 'connection', 'strength', 'known', 'synaptic', 'weight', 'used', 'store', 'acquired', 'knowledge']",1,2.0,neural_networks,neural_course,0.5
6," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,"['ann', 'massively', 'parallel', 'distributed', 'processor', 'made', 'simple', 'processing', 'unit', 'capability', 'storing', 'experimental', 'knowledge', 'made', 'used', 'ann', 'resembles', 'brain', 'get', 'knowledge', 'learning', 'process', 'environment', 'store', 'knowledge', 'interferon', 'connection', 'synaptic', 'weight']","['neural', 'network', 'massively', 'parallel', 'distributed', 'processor', 'made', 'simple', 'processing', 'unit', 'natural', 'propensity', 'storing', 'experiential', 'knowledge', 'neural', 'network', 'resemble', 'brain', 'two', 'aspect', 'knowledge', 'acquired', 'network', 'environment', 'learning', 'process', 'interferon', 'connection', 'strength', 'known', 'synaptic', 'weight', 'used', 'store', 'acquired', 'knowledge']",2,2.0,neural_networks,neural_course,1.0
7," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,"['ann', 'massively', 'distributed', 'processor', 'propensity', 'store', 'experimental', 'knowledge', 'make', 'available', 'used', 'knowledge', 'gained', 'throug', 'process', 'learning', 'knowledge', 'stored', 'weight', 'neuron', 'structure', 'resembles', 'structure', 'brain', 'neuron', 'basic', 'information', 'unit', 'ann', 'act', 'similar', 'real', 'neuron']","['neural', 'network', 'massively', 'parallel', 'distributed', 'processor', 'made', 'simple', 'processing', 'unit', 'natural', 'propensity', 'storing', 'experiential', 'knowledge', 'neural', 'network', 'resemble', 'brain', 'two', 'aspect', 'knowledge', 'acquired', 'network', 'environment', 'learning', 'process', 'interferon', 'connection', 'strength', 'known', 'synaptic', 'weight', 'used', 'store', 'acquired', 'knowledge']",2,2.0,neural_networks,neural_course,1.0
8," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,"['artificial', 'neural', 'network', 'defined', 'learning', 'machine', 'divided', 'layer', 'layer', 'composed', 'neuron', 'neuron', 'different', 'layer', 'connected', 'give', 'output', 'multiple', 'output', 'given', 'input', 'structure', 'similar', 'neurological', 'structure', 'brain', 'neuron', 'interconnected', 'synapsis', 'also', 'important', 'mention', 'feature', 'really', 'important', 'given', 'task', 'wil', 'connection', 'neuron', 'participating', 'like', 'human', 'brain', 'important', 'human', 'function', 'synapsis']","['neural', 'network', 'massively', 'parallel', 'distributed', 'processor', 'made', 'simple', 'processing', 'unit', 'natural', 'propensity', 'storing', 'experiential', 'knowledge', 'neural', 'network', 'resemble', 'brain', 'two', 'aspect', 'knowledge', 'acquired', 'network', 'environment', 'learning', 'process', 'interferon', 'connection', 'strength', 'known', 'synaptic', 'weight', 'used', 'store', 'acquired', 'knowledge']",2,2.0,neural_networks,neural_course,1.0
9," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,"['artificial', 'neural', 'network', 'graph', 'small', 'identical', 'processing', 'unit', 'small', 'unit', 'called', 'neuron', 'connected', 'different', 'architecture', 'whole', 'network', 'adapt', 'environment', 'input', 'trying', 'decrease', 'error', 'cost', 'function', 'increase', 'preciseness', 'manipulating', 'free', 'variable', 'network', 'synaptic', 'weight', 'similar', 'human', 'brain', 'similar', 'human', 'brain', 'many', 'small', 'processing', 'unit', 'connected', 'together', 'react', 'environment', 'learn', 'environment']","['neural', 'network', 'massively', 'parallel', 'distributed', 'processor', 'made', 'simple', 'processing', 'unit', 'natural', 'propensity', 'storing', 'experiential', 'knowledge', 'neural', 'network', 'resemble', 'brain', 'two', 'aspect', 'knowledge', 'acquired', 'network', 'environment', 'learning', 'process', 'interferon', 'connection', 'strength', 'known', 'synaptic', 'weight', 'used', 'store', 'acquired', 'knowledge']",2,2.0,neural_networks,neural_course,1.0
