row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain,dataset_name
0,"['give', 'a', 'definition', 'for', 'the', 'term', 'artificial', 'neural', 'network', 'and', 'mention', 'how', 'it', 'resembles', 'the', 'human', 'brain']",222,"['an', 'artificial', 'neural', 'network', 'is', 'a', 'massively', 'parallel', 'distributed', 'processor', 'with', 'simple', 'processing', 'unit', 'that', 'ha', 'the', 'natural', 'propensity', 'to', 'store', 'experiential', 'knowledge', 'and', 'make', 'use', 'of', 'them', 'an', 'artificial', 'neural', 'network', 'is', 'similar', 'to', 'the', 'human', 'brain', 'in', 'two', 'way', '1', 'the', 'ann', 'work', 'by', 'the', 'process', 'of', 'learning', 'from', 'it', 'environment', '2', 'interneuron', 'connection', 'called', 'synaptic', 'weight', 'are', 'used', 'to', 'store', 'the', 'knowledge', 'gained']","['a', 'neural', 'network', 'is', 'a', 'massively', 'parallel', 'distributed', 'processor', 'which', 'is', 'made', 'up', 'of', 'simple', 'processing', 'unit', 'it', 'ha', 'a', 'natural', 'propensity', 'for', 'storing', 'experiential', 'knowledge', 'neural', 'network', 'resemble', 'the', 'brain', 'in', 'two', 'aspect', 'knowledge', 'is', 'acquired', 'by', 'the', 'network', 'from', 'it', 'environment', 'through', 'a', 'learning', 'process', 'interneuron', 'connection', 'strength', 'known', 'a', 'synaptic', 'weight', 'are', 'used', 'to', 'store', 'the', 'acquired', 'knowledge']",2,2,neural_networks,neural_course
1,"['give', 'a', 'definition', 'for', 'the', 'term', 'artificial', 'neural', 'network', 'and', 'mention', 'how', 'it', 'resembles', 'the', 'human', 'brain']",222,"['artificial', 'neural', 'network', 'consists', 'of', 'largely', 'parallel', 'distributed', 'processor', 'simple', 'processing', 'unit', 'that', 'ha', 'ability', 'to', 'store', 'the', 'experential', 'knowledge', 'and', 'making', 'it', 'available', 'to', 'use', 'it', 'resembles', 'to', 'human', 'brain', 'in', 'two', 'way', 'knowledge', 'is', 'acquired', 'from', 'the', 'environment', 'by', 'the', 'network', 'a', 'learning', 'process', 'synaptic', 'strength', 'called', 'weight', 'are', 'used', 'to', 'store', 'the', 'knowledge']","['a', 'neural', 'network', 'is', 'a', 'massively', 'parallel', 'distributed', 'processor', 'which', 'is', 'made', 'up', 'of', 'simple', 'processing', 'unit', 'it', 'ha', 'a', 'natural', 'propensity', 'for', 'storing', 'experiential', 'knowledge', 'neural', 'network', 'resemble', 'the', 'brain', 'in', 'two', 'aspect', 'knowledge', 'is', 'acquired', 'by', 'the', 'network', 'from', 'it', 'environment', 'through', 'a', 'learning', 'process', 'interneuron', 'connection', 'strength', 'known', 'a', 'synaptic', 'weight', 'are', 'used', 'to', 'store', 'the', 'acquired', 'knowledge']",2,2,neural_networks,neural_course
2,"['give', 'a', 'definition', 'for', 'the', 'term', 'artificial', 'neural', 'network', 'and', 'mention', 'how', 'it', 'resembles', 'the', 'human', 'brain']",222,"['an', 'artificial', 'neural', 'network', 'is', 'a', 'massive', 'distributed', 'processor', 'it', 'consists', 'of', 'several', 'information', 'processing', 'unit', 'which', 'are', 'able', 'to', 'acquire', 'and', 'store', 'knowledge']","['a', 'neural', 'network', 'is', 'a', 'massively', 'parallel', 'distributed', 'processor', 'which', 'is', 'made', 'up', 'of', 'simple', 'processing', 'unit', 'it', 'ha', 'a', 'natural', 'propensity', 'for', 'storing', 'experiential', 'knowledge', 'neural', 'network', 'resemble', 'the', 'brain', 'in', 'two', 'aspect', 'knowledge', 'is', 'acquired', 'by', 'the', 'network', 'from', 'it', 'environment', 'through', 'a', 'learning', 'process', 'interneuron', 'connection', 'strength', 'known', 'a', 'synaptic', 'weight', 'are', 'used', 'to', 'store', 'the', 'acquired', 'knowledge']",1,2,neural_networks,neural_course
3,"['give', 'a', 'definition', 'for', 'the', 'term', 'artificial', 'neural', 'network', 'and', 'mention', 'how', 'it', 'resembles', 'the', 'human', 'brain']",222,"['an', 'ann', 'is', 'a', 'layered', 'graphical', 'model', 'containing', 'neuron', 'and', 'weighted', 'connection', 'resembling', 'the', 'excitatory', 'property', 'of', 'the', 'human', 'brain', 'weight', 'of', 'the', 'ann', 'are', 'changed', 'after', 'presenting', 'it', 'training', 'example', 'from', 'an', 'environment', 'where', 'weight', 'are', 'changed', 'based', 'on', 'the', 'training', 'procedure', 'used', 'artificial', 'neuron', 'also', 'are', 'biased', 'just', 'like', 'real', 'one', 'adding', 'a', 'constant', 'level', 'of', 'activation', 'before', 'being', 'activated', 'by', 'a', 'nonlinear', 'activation', 'function', 'depending', 'on', 'the', 'training', 'procedure', 'both', 'weight', 'topology', 'or', 'even', 'activation', 'function', 'may', 'be', 'learned']","['a', 'neural', 'network', 'is', 'a', 'massively', 'parallel', 'distributed', 'processor', 'which', 'is', 'made', 'up', 'of', 'simple', 'processing', 'unit', 'it', 'ha', 'a', 'natural', 'propensity', 'for', 'storing', 'experiential', 'knowledge', 'neural', 'network', 'resemble', 'the', 'brain', 'in', 'two', 'aspect', 'knowledge', 'is', 'acquired', 'by', 'the', 'network', 'from', 'it', 'environment', 'through', 'a', 'learning', 'process', 'interneuron', 'connection', 'strength', 'known', 'a', 'synaptic', 'weight', 'are', 'used', 'to', 'store', 'the', 'acquired', 'knowledge']",2,2,neural_networks,neural_course
4,"['give', 'a', 'definition', 'for', 'the', 'term', 'artificial', 'neural', 'network', 'and', 'mention', 'how', 'it', 'resembles', 'the', 'human', 'brain']",222,"['artificial', 'neural', 'network', 'are', 'large', 'parallel', 'processing', 'unit', 'that', 'have', 'the', 'natural', 'ability', 'to', 'learn', 'experiential', 'knowledge', 'they', 'are', 'composed', 'of', 'interconnected', 'neuron', 'a', 'basic', 'unit', 'which', 'in', 'turn', 'cosists', 'of', 'weight', 'squashing', 'function', 'and', 'adder', 'function', 'ann', 'resembles', 'brain', 'in', 'the', 'manner', 'that', 'like', 'in', 'human', 'brain', 'it', 'is', 'composed', 'of', 'a', 'network', 'of', 'neuron', 'which', 'help', 'in', 'learning', 'by', 'adjusting', 'the', 'synaptic', 'weight', 'of', 'the', 'connection', 'between', 'neuron', 'this', 'enables', 'it', 'to', 'learn', 'experiential', 'knowledge']","['a', 'neural', 'network', 'is', 'a', 'massively', 'parallel', 'distributed', 'processor', 'which', 'is', 'made', 'up', 'of', 'simple', 'processing', 'unit', 'it', 'ha', 'a', 'natural', 'propensity', 'for', 'storing', 'experiential', 'knowledge', 'neural', 'network', 'resemble', 'the', 'brain', 'in', 'two', 'aspect', 'knowledge', 'is', 'acquired', 'by', 'the', 'network', 'from', 'it', 'environment', 'through', 'a', 'learning', 'process', 'interneuron', 'connection', 'strength', 'known', 'a', 'synaptic', 'weight', 'are', 'used', 'to', 'store', 'the', 'acquired', 'knowledge']",2,2,neural_networks,neural_course
5,"['give', 'a', 'definition', 'for', 'the', 'term', 'artificial', 'neural', 'network', 'and', 'mention', 'how', 'it', 'resembles', 'the', 'human', 'brain']",222,"['an', 'articial', 'neural', 'network', 'consists', 'of', 'neuron', 'each', 'neuron', 'can', 'have', 'several', 'weighted', 'input', 'an', 'activation', 'function', 'and', 'output', 'usually', 'several', 'neuron', 'are', 'connected', 'together', 'often', 'in', 'layer', 'the', 'network', 'then', 'calculates', 'the', 'output', 'given', 'an', 'input', 'to', 'the', 'network', 'the', 'human', 'brain', 'work', 'in', 'a', 'similar', 'way', 'it', 'also', 'consits', 'of', 'neuron', 'that', 'are', 'connected', 'in', 'several', 'way']","['a', 'neural', 'network', 'is', 'a', 'massively', 'parallel', 'distributed', 'processor', 'which', 'is', 'made', 'up', 'of', 'simple', 'processing', 'unit', 'it', 'ha', 'a', 'natural', 'propensity', 'for', 'storing', 'experiential', 'knowledge', 'neural', 'network', 'resemble', 'the', 'brain', 'in', 'two', 'aspect', 'knowledge', 'is', 'acquired', 'by', 'the', 'network', 'from', 'it', 'environment', 'through', 'a', 'learning', 'process', 'interneuron', 'connection', 'strength', 'known', 'a', 'synaptic', 'weight', 'are', 'used', 'to', 'store', 'the', 'acquired', 'knowledge']",1,2,neural_networks,neural_course
6,"['give', 'a', 'definition', 'for', 'the', 'term', 'artificial', 'neural', 'network', 'and', 'mention', 'how', 'it', 'resembles', 'the', 'human', 'brain']",222,"['an', 'ann', 'is', 'a', 'massivly', 'parallel', 'distibuted', 'processor', 'made', 'up', 'of', 'simple', 'processing', 'unit', 'which', 'have', 'the', 'capability', 'of', 'storing', 'experiantal', 'knowlenge', 'and', 'is', 'made', 'up', 'for', 'use', 'an', 'ann', 'resembles', 'the', 'brain', 'because', '1', 'it', 'get', 'it', 'knowlenge', 'through', 'a', 'learning', 'process', 'from', 'it', 'environment', '2', 'it', 'store', 'it', 'knowlenge', 'in', 'it', 'interneuron', 'connection', 'synaptic', 'weight']","['a', 'neural', 'network', 'is', 'a', 'massively', 'parallel', 'distributed', 'processor', 'which', 'is', 'made', 'up', 'of', 'simple', 'processing', 'unit', 'it', 'ha', 'a', 'natural', 'propensity', 'for', 'storing', 'experiential', 'knowledge', 'neural', 'network', 'resemble', 'the', 'brain', 'in', 'two', 'aspect', 'knowledge', 'is', 'acquired', 'by', 'the', 'network', 'from', 'it', 'environment', 'through', 'a', 'learning', 'process', 'interneuron', 'connection', 'strength', 'known', 'a', 'synaptic', 'weight', 'are', 'used', 'to', 'store', 'the', 'acquired', 'knowledge']",2,2,neural_networks,neural_course
7,"['give', 'a', 'definition', 'for', 'the', 'term', 'artificial', 'neural', 'network', 'and', 'mention', 'how', 'it', 'resembles', 'the', 'human', 'brain']",222,"['a', 'ann', 'is', 'a', 'massively', 'distributed', 'processor', 'it', 'ha', 'the', 'propensity', 'to', 'store', 'experiental', 'knowledge', 'and', 'make', 'it', 'available', 'for', 'use', 'the', 'knowledge', 'is', 'gained', 'throug', 'a', 'process', 'of', 'learning', 'the', 'knowledge', 'is', 'stored', 'in', 'the', 'weight', 'between', 'the', 'neuron', 'this', 'structure', 'resembles', 'the', 'structure', 'of', 'the', 'brain', 'neuron', 'are', 'a', 'the', 'basic', 'information', 'unit', 'in', 'the', 'ann', 'and', 'act', 'similiar', 'to', 'real', 'neuron']","['a', 'neural', 'network', 'is', 'a', 'massively', 'parallel', 'distributed', 'processor', 'which', 'is', 'made', 'up', 'of', 'simple', 'processing', 'unit', 'it', 'ha', 'a', 'natural', 'propensity', 'for', 'storing', 'experiential', 'knowledge', 'neural', 'network', 'resemble', 'the', 'brain', 'in', 'two', 'aspect', 'knowledge', 'is', 'acquired', 'by', 'the', 'network', 'from', 'it', 'environment', 'through', 'a', 'learning', 'process', 'interneuron', 'connection', 'strength', 'known', 'a', 'synaptic', 'weight', 'are', 'used', 'to', 'store', 'the', 'acquired', 'knowledge']",2,2,neural_networks,neural_course
8,"['give', 'a', 'definition', 'for', 'the', 'term', 'artificial', 'neural', 'network', 'and', 'mention', 'how', 'it', 'resembles', 'the', 'human', 'brain']",222,"['an', 'artificial', 'neural', 'network', 'is', 'defined', 'a', 'a', 'learning', 'machine', 'which', 'is', 'divided', 'by', 'layer', 'and', 'each', 'layer', 'is', 'composed', 'by', 'neuron', 'the', 'neuron', 'from', 'different', 'layer', 'can', 'be', 'connected', 'between', 'each', 'other', 'and', 'give', 'an', 'output', 'or', 'multiple', 'output', 'by', 'a', 'given', 'input', 'this', 'structure', 'is', 'very', 'similar', 'with', 'the', 'neurological', 'structure', 'of', 'our', 'brain', 'where', 'neuron', 'are', 'interconnected', 'by', 'synapsis', 'also', 'important', 'to', 'mention', 'if', 'a', 'feature', 'is', 'really', 'important', 'for', 'a', 'given', 'task', 'this', 'wil', 'have', 'more', 'connection', 'and', 'neuron', 'participating', 'like', 'in', 'the', 'human', 'brain', 'the', 'important', 'humasn', 'function', 'have', 'more', 'synapsis']","['a', 'neural', 'network', 'is', 'a', 'massively', 'parallel', 'distributed', 'processor', 'which', 'is', 'made', 'up', 'of', 'simple', 'processing', 'unit', 'it', 'ha', 'a', 'natural', 'propensity', 'for', 'storing', 'experiential', 'knowledge', 'neural', 'network', 'resemble', 'the', 'brain', 'in', 'two', 'aspect', 'knowledge', 'is', 'acquired', 'by', 'the', 'network', 'from', 'it', 'environment', 'through', 'a', 'learning', 'process', 'interneuron', 'connection', 'strength', 'known', 'a', 'synaptic', 'weight', 'are', 'used', 'to', 'store', 'the', 'acquired', 'knowledge']",2,2,neural_networks,neural_course
9,"['give', 'a', 'definition', 'for', 'the', 'term', 'artificial', 'neural', 'network', 'and', 'mention', 'how', 'it', 'resembles', 'the', 'human', 'brain']",222,"['an', 'artificial', 'neural', 'network', 'is', 'a', 'graph', 'of', 'small', 'and', 'identical', 'processing', 'unit', 'that', 'these', 'small', 'unit', 'called', 'neuron', 'and', 'they', 'are', 'connected', 'to', 'each', 'other', 'in', 'different', 'architecture', 'and', 'the', 'whole', 'network', 'adapt', 'and', 'itself', 'to', 'the', 'environment', 'input', 'by', 'trying', 'to', 'decrease', 'the', 'error', 'or', 'the', 'cost', 'function', 'and', 'increase', 'it', 'preciseness', 'by', 'manipulating', 'the', 'free', 'variable', 'of', 'the', 'network', 'which', 'are', 'the', 'synaptic', 'weight', 'it', 'is', 'similar', 'to', 'human', 'brain', 'because', 'similar', 'to', 'the', 'human', 'brain', 'we', 'have', 'many', 'small', 'processing', 'unit', 'that', 'are', 'connected', 'together', 'and', 'they', 'react', 'to', 'the', 'environment', 'and', 'learn', 'from', 'the', 'environment']","['a', 'neural', 'network', 'is', 'a', 'massively', 'parallel', 'distributed', 'processor', 'which', 'is', 'made', 'up', 'of', 'simple', 'processing', 'unit', 'it', 'ha', 'a', 'natural', 'propensity', 'for', 'storing', 'experiential', 'knowledge', 'neural', 'network', 'resemble', 'the', 'brain', 'in', 'two', 'aspect', 'knowledge', 'is', 'acquired', 'by', 'the', 'network', 'from', 'it', 'environment', 'through', 'a', 'learning', 'process', 'interneuron', 'connection', 'strength', 'known', 'a', 'synaptic', 'weight', 'are', 'used', 'to', 'store', 'the', 'acquired', 'knowledge']",2,2,neural_networks,neural_course
