row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain,dataset_name
0,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",131,"['high', 'risk', 'problem', 'are', 'address', 'in', 'the', 'prototype', 'program', 'to', 'make', 'sure', 'that', 'the', 'program', 'is', 'feasible', 'a', 'prototype', 'may', 'also', 'be', 'used', 'to', 'show', 'a', 'company', 'that', 'the', 'software', 'can', 'be', 'possibly', 'programmed']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",3.5,5,science,texas
1,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",131,"['to', 'simulate', 'portion', 'of', 'the', 'desired', 'final', 'product', 'with', 'a', 'quick', 'and', 'easy', 'program', 'that', 'doe', 'a', 'small', 'specific', 'job', 'it', 'is', 'a', 'way', 'to', 'help', 'see', 'what', 'the', 'problem', 'is', 'and', 'how', 'you', 'may', 'solve', 'it', 'in', 'the', 'final', 'project']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",5.0,5,science,texas
2,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",131,"['a', 'prototype', 'program', 'simulates', 'the', 'behavior', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product', 'to', 'allow', 'for', 'error', 'checking']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",4.0,5,science,texas
3,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",131,"['defined', 'in', 'the', 'specification', 'phase', 'a', 'prototype', 'stimulates', 'the', 'behavior', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product', 'meaning', 'the', 'role', 'of', 'a', 'prototype', 'is', 'a', 'temporary', 'solution', 'until', 'the', 'program', 'itself', 'is', 'refined', 'to', 'be', 'used', 'extensively', 'in', 'problem', 'solving']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",5.0,5,science,texas
4,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",131,"['it', 'is', 'used', 'to', 'let', 'the', 'user', 'have', 'a', 'first', 'idea', 'of', 'the', 'completed', 'program', 'and', 'allow', 'the', 'client', 'to', 'evaluate', 'the', 'program', 'this', 'can', 'generate', 'much', 'feedback', 'including', 'software', 'specification', 'and', 'project', 'estimation', 'of', 'the', 'total', 'project']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",3.0,5,science,texas
5,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",131,"['to', 'find', 'problem', 'and', 'error', 'in', 'a', 'program', 'before', 'it', 'is', 'finalized']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",2.0,5,science,texas
6,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",131,"['to', 'address', 'major', 'issue', 'in', 'the', 'creation', 'of', 'the', 'program', 'there', 'is', 'no', 'way', 'to', 'account', 'for', 'all', 'possible', 'bug', 'in', 'the', 'program', 'but', 'it', 'is', 'possible', 'to', 'prove', 'the', 'program', 'is', 'tangible']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",2.5,5,science,texas
7,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",131,"['you', 'can', 'break', 'the', 'whole', 'program', 'into', 'prototype', 'program', 'to', 'simulate', 'part', 'of', 'the', 'final', 'program']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",5.0,5,science,texas
8,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",131,['name'],"['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",3.5,5,science,texas
9,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",131,"['simulating', 'the', 'behavior', 'of', 'only', 'a', 'portion', 'of', 'the', 'desired', 'software', 'product']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",5.0,5,science,texas
