row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain,dataset_name
10967,[],216,"['the', 'mrna', 'travel', 'to', 'the', 'ribosome', 'at', 'the', 'ribosome', 'the', 'mrna', 'is', 'copied', 'so', 'that', 'is', 'can', 'be', 'used', 'to', 'create', 'proteinsthe', 'copy', 'mrna', 'is', 'then', 'used', 'a', 'instruction', 'to', 'create', 'proteinsthe', 'protein', 'are', 'made', 'using', 'the', 'instruction', 'given']","['first', 'the', 'mrna', 'attache', 'to', 'a', 'ribosome', 'and', 'then', 'the', 'ribosome', 'read', 'the', 'mrna', 'in', 'segment', 'of', 'three', 'called', 'codon', 'for', 'each', 'codon', 'there', 'is', 'a', 'complementary', 'amino', 'acid', 'secondly', 'trna', 'pick', 'up', 'the', 'needed', 'amino', 'acid', 'and', 'brings', 'them', 'to', 'the', 'ribosome', 'thirdy', 'the', 'amino', 'acid', 'attach', 'to', 'each', 'other', 'and', 'form', 'a', 'chain', 'of', 'amino', 'acid', 'according', 'to', 'the', 'way', 'in', 'which', 'the', 'codon', 'are', 'read', 'on', 'the', 'mrna', 'strand', 'by', 'the', 'ribosome', 'the', 'chain', 'continues', 'to', 'form', 'until', 'the', 'ribosome', 'reach', 'the', 'stop', 'codon', 'on', 'the', 'mrna', 'strand', 'lastly', 'the', 'ribosome', 'disconnect', 'from', 'the', 'mrna', 'strand', 'and', 'the', 'protein', 'is', 'relased', 'to', 'perform', 'it', 'job', 'in', 'the', 'cell']",1.0,3.0,biology,ASAP_sas
10968,[],216,"['atp', 'is', 'created', 'and', 'broken', 'downit', 'is', 'broken', 'down', 'when', '2', 'phosphate', 'group', 'dont', 'connect', 'with', 'the', 'third', 'causing', 'adpadp', 'can', 'make', 'atp', 'again', 'by', 'remaking', 'itself']","['first', 'the', 'mrna', 'attache', 'to', 'a', 'ribosome', 'and', 'then', 'the', 'ribosome', 'read', 'the', 'mrna', 'in', 'segment', 'of', 'three', 'called', 'codon', 'for', 'each', 'codon', 'there', 'is', 'a', 'complementary', 'amino', 'acid', 'secondly', 'trna', 'pick', 'up', 'the', 'needed', 'amino', 'acid', 'and', 'brings', 'them', 'to', 'the', 'ribosome', 'thirdy', 'the', 'amino', 'acid', 'attach', 'to', 'each', 'other', 'and', 'form', 'a', 'chain', 'of', 'amino', 'acid', 'according', 'to', 'the', 'way', 'in', 'which', 'the', 'codon', 'are', 'read', 'on', 'the', 'mrna', 'strand', 'by', 'the', 'ribosome', 'the', 'chain', 'continues', 'to', 'form', 'until', 'the', 'ribosome', 'reach', 'the', 'stop', 'codon', 'on', 'the', 'mrna', 'strand', 'lastly', 'the', 'ribosome', 'disconnect', 'from', 'the', 'mrna', 'strand', 'and', 'the', 'protein', 'is', 'relased', 'to', 'perform', 'it', 'job', 'in', 'the', 'cell']",0.0,3.0,biology,ASAP_sas
10969,[],216,"['the', 'mrna', 'first', 'get', 'on', 'an', 'electron', 'transport', 'chain']","['first', 'the', 'mrna', 'attache', 'to', 'a', 'ribosome', 'and', 'then', 'the', 'ribosome', 'read', 'the', 'mrna', 'in', 'segment', 'of', 'three', 'called', 'codon', 'for', 'each', 'codon', 'there', 'is', 'a', 'complementary', 'amino', 'acid', 'secondly', 'trna', 'pick', 'up', 'the', 'needed', 'amino', 'acid', 'and', 'brings', 'them', 'to', 'the', 'ribosome', 'thirdy', 'the', 'amino', 'acid', 'attach', 'to', 'each', 'other', 'and', 'form', 'a', 'chain', 'of', 'amino', 'acid', 'according', 'to', 'the', 'way', 'in', 'which', 'the', 'codon', 'are', 'read', 'on', 'the', 'mrna', 'strand', 'by', 'the', 'ribosome', 'the', 'chain', 'continues', 'to', 'form', 'until', 'the', 'ribosome', 'reach', 'the', 'stop', 'codon', 'on', 'the', 'mrna', 'strand', 'lastly', 'the', 'ribosome', 'disconnect', 'from', 'the', 'mrna', 'strand', 'and', 'the', 'protein', 'is', 'relased', 'to', 'perform', 'it', 'job', 'in', 'the', 'cell']",0.0,3.0,biology,ASAP_sas
10970,[],216,"['the', 'mrna', 'then', 'travel', 'to', 'the', 'mitochondrion', 'where', 'it', 'is', 'then', 'copiedthen', 'one', 'mrna', 'go', 'to', 'the', 'nucleus', 'while', 'the', 'other', 'go', 'to', 'the', 'ribosome', 'where', 'it', 'transfer', 'it', 'infornmation', 'to', 'the', 'organelle', 'the', 'organelle', 'then', 'read', 'the', 'infornmation', 'and', 'make', 'protein']","['first', 'the', 'mrna', 'attache', 'to', 'a', 'ribosome', 'and', 'then', 'the', 'ribosome', 'read', 'the', 'mrna', 'in', 'segment', 'of', 'three', 'called', 'codon', 'for', 'each', 'codon', 'there', 'is', 'a', 'complementary', 'amino', 'acid', 'secondly', 'trna', 'pick', 'up', 'the', 'needed', 'amino', 'acid', 'and', 'brings', 'them', 'to', 'the', 'ribosome', 'thirdy', 'the', 'amino', 'acid', 'attach', 'to', 'each', 'other', 'and', 'form', 'a', 'chain', 'of', 'amino', 'acid', 'according', 'to', 'the', 'way', 'in', 'which', 'the', 'codon', 'are', 'read', 'on', 'the', 'mrna', 'strand', 'by', 'the', 'ribosome', 'the', 'chain', 'continues', 'to', 'form', 'until', 'the', 'ribosome', 'reach', 'the', 'stop', 'codon', 'on', 'the', 'mrna', 'strand', 'lastly', 'the', 'ribosome', 'disconnect', 'from', 'the', 'mrna', 'strand', 'and', 'the', 'protein', 'is', 'relased', 'to', 'perform', 'it', 'job', 'in', 'the', 'cell']",0.0,3.0,biology,ASAP_sas
10971,[],216,"['first', 'thing', 'the', 'mrna', 'doe', 'is', 'go', 'to', 'the', 'ribosome', 'next', 'the', 'trna', 'come', 'and', 'decodes', 'the', 'first', 'three', 'nucleotide', 'then', 'the', 'trna', 'brings', 'over', 'the', 'amino', 'acid', 'that', 'match', 'the', 'codon', 'last', 'the', 'trna', 'shift', 'over', 'and', 'the', 'amino', 'acid', 'form', 'peptide', 'bond', 'with', 'one', 'another']","['first', 'the', 'mrna', 'attache', 'to', 'a', 'ribosome', 'and', 'then', 'the', 'ribosome', 'read', 'the', 'mrna', 'in', 'segment', 'of', 'three', 'called', 'codon', 'for', 'each', 'codon', 'there', 'is', 'a', 'complementary', 'amino', 'acid', 'secondly', 'trna', 'pick', 'up', 'the', 'needed', 'amino', 'acid', 'and', 'brings', 'them', 'to', 'the', 'ribosome', 'thirdy', 'the', 'amino', 'acid', 'attach', 'to', 'each', 'other', 'and', 'form', 'a', 'chain', 'of', 'amino', 'acid', 'according', 'to', 'the', 'way', 'in', 'which', 'the', 'codon', 'are', 'read', 'on', 'the', 'mrna', 'strand', 'by', 'the', 'ribosome', 'the', 'chain', 'continues', 'to', 'form', 'until', 'the', 'ribosome', 'reach', 'the', 'stop', 'codon', 'on', 'the', 'mrna', 'strand', 'lastly', 'the', 'ribosome', 'disconnect', 'from', 'the', 'mrna', 'strand', 'and', 'the', 'protein', 'is', 'relased', 'to', 'perform', 'it', 'job', 'in', 'the', 'cell']",2.0,3.0,biology,ASAP_sas
10972,[],216,"['go', 'to', 'the', 'er', 'then', 'golgi', 'body']","['first', 'the', 'mrna', 'attache', 'to', 'a', 'ribosome', 'and', 'then', 'the', 'ribosome', 'read', 'the', 'mrna', 'in', 'segment', 'of', 'three', 'called', 'codon', 'for', 'each', 'codon', 'there', 'is', 'a', 'complementary', 'amino', 'acid', 'secondly', 'trna', 'pick', 'up', 'the', 'needed', 'amino', 'acid', 'and', 'brings', 'them', 'to', 'the', 'ribosome', 'thirdy', 'the', 'amino', 'acid', 'attach', 'to', 'each', 'other', 'and', 'form', 'a', 'chain', 'of', 'amino', 'acid', 'according', 'to', 'the', 'way', 'in', 'which', 'the', 'codon', 'are', 'read', 'on', 'the', 'mrna', 'strand', 'by', 'the', 'ribosome', 'the', 'chain', 'continues', 'to', 'form', 'until', 'the', 'ribosome', 'reach', 'the', 'stop', 'codon', 'on', 'the', 'mrna', 'strand', 'lastly', 'the', 'ribosome', 'disconnect', 'from', 'the', 'mrna', 'strand', 'and', 'the', 'protein', 'is', 'relased', 'to', 'perform', 'it', 'job', 'in', 'the', 'cell']",1.0,3.0,biology,ASAP_sas
10973,[],216,"['messenger', 'rna', 'collect', 'the', 'protein', 'particals', 'inside', 'the', 'nucleus', 'of', 'the', 'cell', 'the', 'the', 'transport', 'rna', 'come', 'by', 'to', 'collect', 'those', 'prteins', 'in', 'that', 'cell', 'and', 'take', 'them', 'to', 'anothe', 'rcell', 'in', 'the', 'body', 'so', 'that', 'that', 'part', 'of', 'the', 'body', 'can', 'absorb', 'those', 'protein', 'and', 'use', 'tem', 'in', 'the', 'function', 'of', 'protein', 'sythesis']","['first', 'the', 'mrna', 'attache', 'to', 'a', 'ribosome', 'and', 'then', 'the', 'ribosome', 'read', 'the', 'mrna', 'in', 'segment', 'of', 'three', 'called', 'codon', 'for', 'each', 'codon', 'there', 'is', 'a', 'complementary', 'amino', 'acid', 'secondly', 'trna', 'pick', 'up', 'the', 'needed', 'amino', 'acid', 'and', 'brings', 'them', 'to', 'the', 'ribosome', 'thirdy', 'the', 'amino', 'acid', 'attach', 'to', 'each', 'other', 'and', 'form', 'a', 'chain', 'of', 'amino', 'acid', 'according', 'to', 'the', 'way', 'in', 'which', 'the', 'codon', 'are', 'read', 'on', 'the', 'mrna', 'strand', 'by', 'the', 'ribosome', 'the', 'chain', 'continues', 'to', 'form', 'until', 'the', 'ribosome', 'reach', 'the', 'stop', 'codon', 'on', 'the', 'mrna', 'strand', 'lastly', 'the', 'ribosome', 'disconnect', 'from', 'the', 'mrna', 'strand', 'and', 'the', 'protein', 'is', 'relased', 'to', 'perform', 'it', 'job', 'in', 'the', 'cell']",0.0,3.0,biology,ASAP_sas
10974,[],216,"['translation', 'the', 'amino', 'acid', 'code', 'is', 'translatedtranscription', 'the', 'amino', 'acid', 'code', 'is', 'readsynthesisthe', 'protein', 'is', 'made', 'introduction', 'the', 'code', 'is', 'given']","['first', 'the', 'mrna', 'attache', 'to', 'a', 'ribosome', 'and', 'then', 'the', 'ribosome', 'read', 'the', 'mrna', 'in', 'segment', 'of', 'three', 'called', 'codon', 'for', 'each', 'codon', 'there', 'is', 'a', 'complementary', 'amino', 'acid', 'secondly', 'trna', 'pick', 'up', 'the', 'needed', 'amino', 'acid', 'and', 'brings', 'them', 'to', 'the', 'ribosome', 'thirdy', 'the', 'amino', 'acid', 'attach', 'to', 'each', 'other', 'and', 'form', 'a', 'chain', 'of', 'amino', 'acid', 'according', 'to', 'the', 'way', 'in', 'which', 'the', 'codon', 'are', 'read', 'on', 'the', 'mrna', 'strand', 'by', 'the', 'ribosome', 'the', 'chain', 'continues', 'to', 'form', 'until', 'the', 'ribosome', 'reach', 'the', 'stop', 'codon', 'on', 'the', 'mrna', 'strand', 'lastly', 'the', 'ribosome', 'disconnect', 'from', 'the', 'mrna', 'strand', 'and', 'the', 'protein', 'is', 'relased', 'to', 'perform', 'it', 'job', 'in', 'the', 'cell']",0.0,3.0,biology,ASAP_sas
10975,[],216,"['1', 'the', 'mrna', 'take', 'the', 'copied', 'information', 'out', 'into', 'the', 'cytoplasm2', 'there', 'trna', 'brings', 'in', 'nucleotide', 'to', 'pair', 'up', 'with', 'the', 'mrna', 'inorder', 'to', 'make', 'a', 'copy', 'of', 'the', 'dna', 'strand3', 'an', 'amino', 'acid', 'is', 'then', 'paired', 'up', 'with', 'each', 'set', 'of', 'three', 'nucleotides4', 'once', 'the', 'process', 'is', 'completed', 'it', 'is', 'used', 'to', 'make', 'a', 'protein']","['first', 'the', 'mrna', 'attache', 'to', 'a', 'ribosome', 'and', 'then', 'the', 'ribosome', 'read', 'the', 'mrna', 'in', 'segment', 'of', 'three', 'called', 'codon', 'for', 'each', 'codon', 'there', 'is', 'a', 'complementary', 'amino', 'acid', 'secondly', 'trna', 'pick', 'up', 'the', 'needed', 'amino', 'acid', 'and', 'brings', 'them', 'to', 'the', 'ribosome', 'thirdy', 'the', 'amino', 'acid', 'attach', 'to', 'each', 'other', 'and', 'form', 'a', 'chain', 'of', 'amino', 'acid', 'according', 'to', 'the', 'way', 'in', 'which', 'the', 'codon', 'are', 'read', 'on', 'the', 'mrna', 'strand', 'by', 'the', 'ribosome', 'the', 'chain', 'continues', 'to', 'form', 'until', 'the', 'ribosome', 'reach', 'the', 'stop', 'codon', 'on', 'the', 'mrna', 'strand', 'lastly', 'the', 'ribosome', 'disconnect', 'from', 'the', 'mrna', 'strand', 'and', 'the', 'protein', 'is', 'relased', 'to', 'perform', 'it', 'job', 'in', 'the', 'cell']",0.5,3.0,biology,ASAP_sas
10976,[],216,"['first', 'the', 'mrna', 'leaf', 'the', 'cell', 'nucleus', 'and', 'move', 'to', 'the', 'ribosome', 'where', 'trna', 'find', 'complementary', 'base']","['first', 'the', 'mrna', 'attache', 'to', 'a', 'ribosome', 'and', 'then', 'the', 'ribosome', 'read', 'the', 'mrna', 'in', 'segment', 'of', 'three', 'called', 'codon', 'for', 'each', 'codon', 'there', 'is', 'a', 'complementary', 'amino', 'acid', 'secondly', 'trna', 'pick', 'up', 'the', 'needed', 'amino', 'acid', 'and', 'brings', 'them', 'to', 'the', 'ribosome', 'thirdy', 'the', 'amino', 'acid', 'attach', 'to', 'each', 'other', 'and', 'form', 'a', 'chain', 'of', 'amino', 'acid', 'according', 'to', 'the', 'way', 'in', 'which', 'the', 'codon', 'are', 'read', 'on', 'the', 'mrna', 'strand', 'by', 'the', 'ribosome', 'the', 'chain', 'continues', 'to', 'form', 'until', 'the', 'ribosome', 'reach', 'the', 'stop', 'codon', 'on', 'the', 'mrna', 'strand', 'lastly', 'the', 'ribosome', 'disconnect', 'from', 'the', 'mrna', 'strand', 'and', 'the', 'protein', 'is', 'relased', 'to', 'perform', 'it', 'job', 'in', 'the', 'cell']",1.0,3.0,biology,ASAP_sas
