row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain,dataset_name
4918,[],214,"['china', 'panda', 'and', 'australia', 'koala', 'are', 'two', 'animal', 'that', 'arent', 'predator', 'panda', 'eat', 'bamboo', 'and', 'koala', 'eat', 'eucalyptus', 'leaf', 'therefore', 'they', 'are', 'harmless', 'they', 'are', 'both', 'different', 'from', 'python', 'because', 'python', 'are', 'potentialy', 'dangerous', 'considering', 'they', 'can', 'swallow', 'an', 'entire', 'alligator', 'you', 'could', 'conceivably', 'have', 'python', 'shacking', 'upto', 'the', 'potomac']","['panda', 'in', 'china', 'and', 'koala', 'in', 'australia', 'are', 'similar', 'because', 'they', 'are', 'specialist', 'and', 'only', 'eat', 'one', 'food', 'they', 'are', 'both', 'different', 'from', 'python', 'because', 'python', 'are', 'generalist', 'the', 'python', 'can', 'live', 'almost', 'anywhere', 'and', 'eat', 'a', 'variety', 'of', 'thing', 'panda', 'can', 'only', 'eat', 'nothing', 'but', 'bamboo', 'and', 'koala', 'can', 'only', 'eat', 'eucalyptus', 'leaf', 'almost', 'exclusively']",1.0,2.0,english_language_arts,ASAP_sas
4919,[],214,"['panda', 'and', 'koala', 'are', 'similar', 'because', 'they', 'are', 'both', 'described', 'a', 'specialist', 'animal', 'because', 'they', 'only', 'eat', 'one', 'food', 'exclusively', 'no', 'change', 'the', 'panda', 'and', 'koala', 'bear', 'a', 'different', 'from', 'the', 'python', 'because', 'because', 'python', 'are', 'generalist', 'animal', 'that', 'migrate', 'and', 'can', 'adapt', 'to', 'the', 'climate', 'in', 'the', 'lower', 'state', 'while', 'the', 'panda', 'and', 'koala', 'bear', 'can', 'not']","['panda', 'in', 'china', 'and', 'koala', 'in', 'australia', 'are', 'similar', 'because', 'they', 'are', 'specialist', 'and', 'only', 'eat', 'one', 'food', 'they', 'are', 'both', 'different', 'from', 'python', 'because', 'python', 'are', 'generalist', 'the', 'python', 'can', 'live', 'almost', 'anywhere', 'and', 'eat', 'a', 'variety', 'of', 'thing', 'panda', 'can', 'only', 'eat', 'nothing', 'but', 'bamboo', 'and', 'koala', 'can', 'only', 'eat', 'eucalyptus', 'leaf', 'almost', 'exclusively']",1.5,2.0,english_language_arts,ASAP_sas
4920,[],214,"['panda', 'in', 'china', 'and', 'koala', 'in', 'australia', 'are', 'similar', 'because', 'they', 'both', 'only', 'feed', 'on', 'one', 'thing', 'panda', 'eat', 'bamboo', 'and', 'koala', 'eucalyptus', 'leaf', 'unlike', 'python', 'which', 'eat', 'just', 'about', 'everything', 'including', 'aligators']","['panda', 'in', 'china', 'and', 'koala', 'in', 'australia', 'are', 'similar', 'because', 'they', 'are', 'specialist', 'and', 'only', 'eat', 'one', 'food', 'they', 'are', 'both', 'different', 'from', 'python', 'because', 'python', 'are', 'generalist', 'the', 'python', 'can', 'live', 'almost', 'anywhere', 'and', 'eat', 'a', 'variety', 'of', 'thing', 'panda', 'can', 'only', 'eat', 'nothing', 'but', 'bamboo', 'and', 'koala', 'can', 'only', 'eat', 'eucalyptus', 'leaf', 'almost', 'exclusively']",1.0,2.0,english_language_arts,ASAP_sas
4921,[],214,"['panda', 'in', 'china', 'only', 'eat', 'bamboo', 'and', 'koala', 'in', 'australia', 'eat', 'exclusively', 'eucalyptus', 'leaf', 'they', 'are', 'both', 'restricted', 'to', 'one', 'food', 'while', 'python', 'eat', 'a', 'varity', 'of', 'food', 'potentially', 'harming', 'native', 'specie']","['panda', 'in', 'china', 'and', 'koala', 'in', 'australia', 'are', 'similar', 'because', 'they', 'are', 'specialist', 'and', 'only', 'eat', 'one', 'food', 'they', 'are', 'both', 'different', 'from', 'python', 'because', 'python', 'are', 'generalist', 'the', 'python', 'can', 'live', 'almost', 'anywhere', 'and', 'eat', 'a', 'variety', 'of', 'thing', 'panda', 'can', 'only', 'eat', 'nothing', 'but', 'bamboo', 'and', 'koala', 'can', 'only', 'eat', 'eucalyptus', 'leaf', 'almost', 'exclusively']",1.5,2.0,english_language_arts,ASAP_sas
4922,[],214,"['panda', 'in', 'china', 'and', 'koala', 'from', 'australia', 'are', 'similar', 'because', 'they', 'are', 'both', 'specialist', 'they', 'both', 'are', 'different', 'from', 'a', 'python', 'because', 'a', 'python', 'is', 'a', 'generalist']","['panda', 'in', 'china', 'and', 'koala', 'in', 'australia', 'are', 'similar', 'because', 'they', 'are', 'specialist', 'and', 'only', 'eat', 'one', 'food', 'they', 'are', 'both', 'different', 'from', 'python', 'because', 'python', 'are', 'generalist', 'the', 'python', 'can', 'live', 'almost', 'anywhere', 'and', 'eat', 'a', 'variety', 'of', 'thing', 'panda', 'can', 'only', 'eat', 'nothing', 'but', 'bamboo', 'and', 'koala', 'can', 'only', 'eat', 'eucalyptus', 'leaf', 'almost', 'exclusively']",0.0,2.0,english_language_arts,ASAP_sas
4923,[],214,"['panda', 'are', 'similar', 'to', 'koala', 'because', 'they', 'are', 'both', 'specialist', 'and', 'a', 'python', 'is', 'a', 'generalist']","['panda', 'in', 'china', 'and', 'koala', 'in', 'australia', 'are', 'similar', 'because', 'they', 'are', 'specialist', 'and', 'only', 'eat', 'one', 'food', 'they', 'are', 'both', 'different', 'from', 'python', 'because', 'python', 'are', 'generalist', 'the', 'python', 'can', 'live', 'almost', 'anywhere', 'and', 'eat', 'a', 'variety', 'of', 'thing', 'panda', 'can', 'only', 'eat', 'nothing', 'but', 'bamboo', 'and', 'koala', 'can', 'only', 'eat', 'eucalyptus', 'leaf', 'almost', 'exclusively']",1.0,2.0,english_language_arts,ASAP_sas
4924,[],214,"['panda', 'are', 'similar', 'to', 'koala', 'by', 'they', 'are', 'both', 'specialist', 'specie', 'they', 'only', 'survive', 'in', 'certain', 'condition', 'they', 'are', 'not', 'able', 'to', 'adapt', 'very', 'well', 'and', 'can', 'only', 'eat', 'and', 'live', 'in', 'certain', 'climate', 'they', 'are', 'both', 'different', 'form', 'python', 'by', 'they', 'are', 'not', 'reptile', 'also', 'a', 'python', 'is', 'a', 'generalist', 'specie', 'and', 'can', 'easily', 'adapt', 'to', 'change', 'they', 'eat', 'a', 'variety', 'of', 'food', 'and', 'accept', 'change']","['panda', 'in', 'china', 'and', 'koala', 'in', 'australia', 'are', 'similar', 'because', 'they', 'are', 'specialist', 'and', 'only', 'eat', 'one', 'food', 'they', 'are', 'both', 'different', 'from', 'python', 'because', 'python', 'are', 'generalist', 'the', 'python', 'can', 'live', 'almost', 'anywhere', 'and', 'eat', 'a', 'variety', 'of', 'thing', 'panda', 'can', 'only', 'eat', 'nothing', 'but', 'bamboo', 'and', 'koala', 'can', 'only', 'eat', 'eucalyptus', 'leaf', 'almost', 'exclusively']",1.5,2.0,english_language_arts,ASAP_sas
4925,[],214,"['panda', 'in', 'china', 'are', 'similar', 'to', 'koala', 'in', 'australia', 'because', 'they', 'both', 'are', 'specialist', 'in', 'the', 'article', 'it', 'state', 'that', 'koala', 'bear', 'panda', 'eat', 'mainly', 'one', 'type', 'of', 'food', 'koala', 'eat', 'eucalyptus', 'leaf', 'while', 'panda', 'eact', 'bamboo', 'they', 'are', 'both', 'different', 'from', 'python', 'because', 'python', 'are', 'generalist', 'and', 'like', 'stated', 'in', 'the', 'article', 'they', 'can', 'adapt', 'to', 'anything']","['panda', 'in', 'china', 'and', 'koala', 'in', 'australia', 'are', 'similar', 'because', 'they', 'are', 'specialist', 'and', 'only', 'eat', 'one', 'food', 'they', 'are', 'both', 'different', 'from', 'python', 'because', 'python', 'are', 'generalist', 'the', 'python', 'can', 'live', 'almost', 'anywhere', 'and', 'eat', 'a', 'variety', 'of', 'thing', 'panda', 'can', 'only', 'eat', 'nothing', 'but', 'bamboo', 'and', 'koala', 'can', 'only', 'eat', 'eucalyptus', 'leaf', 'almost', 'exclusively']",1.0,2.0,english_language_arts,ASAP_sas
4926,[],214,"['panda', 'and', 'koala', 'are', 'similar', 'because', 'they', 'eat', 'mainly', 'one', 'type', 'of', 'food', 'for', 'them', 'panda', 'eat', 'bamboo', 'and', 'koala', 'eat', 'eucalyptus', 'leaf', 'they', 'differ', 'from', 'a', 'python', 'because', 'python', 'can', 'eat', 'just', 'about', 'anythingone', 'even', 'attempted', 'an', 'alligator']","['panda', 'in', 'china', 'and', 'koala', 'in', 'australia', 'are', 'similar', 'because', 'they', 'are', 'specialist', 'and', 'only', 'eat', 'one', 'food', 'they', 'are', 'both', 'different', 'from', 'python', 'because', 'python', 'are', 'generalist', 'the', 'python', 'can', 'live', 'almost', 'anywhere', 'and', 'eat', 'a', 'variety', 'of', 'thing', 'panda', 'can', 'only', 'eat', 'nothing', 'but', 'bamboo', 'and', 'koala', 'can', 'only', 'eat', 'eucalyptus', 'leaf', 'almost', 'exclusively']",1.5,2.0,english_language_arts,ASAP_sas
4927,[],214,"['panda', 'are', 'similar', 'to', 'koala', 'due', 'to', 'their', 'very', 'much', 'a', 'like', 'eating', 'habitsthey', 'both', 'eat', 'bamboo', 'and', 'occasional', 'bug', 'python', 'on', 'the', 'other', 'hand', 'arent', 'mammal', 'like', 'panda', 'koala', 'eat', 'mostly', 'rodent']","['panda', 'in', 'china', 'and', 'koala', 'in', 'australia', 'are', 'similar', 'because', 'they', 'are', 'specialist', 'and', 'only', 'eat', 'one', 'food', 'they', 'are', 'both', 'different', 'from', 'python', 'because', 'python', 'are', 'generalist', 'the', 'python', 'can', 'live', 'almost', 'anywhere', 'and', 'eat', 'a', 'variety', 'of', 'thing', 'panda', 'can', 'only', 'eat', 'nothing', 'but', 'bamboo', 'and', 'koala', 'can', 'only', 'eat', 'eucalyptus', 'leaf', 'almost', 'exclusively']",0.5,2.0,english_language_arts,ASAP_sas
