row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain
0,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['high', 'risk', 'problem', 'are', 'address', 'in', 'the', 'prototype', 'program', 'to', 'make', 'sure', 'that', 'the', 'program', 'is', 'feasible', 'a', 'prototype', 'may', 'also', 'be', 'used', 'to', 'show', 'a', 'company', 'that', 'the', 'software', 'can', 'be', 'possibly', 'programmed']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",3.5,5,science
1,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['to', 'simulate', 'portion', 'of', 'the', 'desired', 'final', 'product', 'with', 'a', 'quick', 'and', 'easy', 'program', 'that', 'doe', 'a', 'small', 'specific', 'job', 'it', 'is', 'a', 'way', 'to', 'help', 'see', 'what', 'the', 'problem', 'is', 'and', 'how', 'you', 'may', 'solve', 'it', 'in', 'the', 'final', 'project']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",5.0,5,science
2,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['a', 'prototype', 'program', 'simulates', 'the', 'behavior', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product', 'to', 'allow', 'for', 'error', 'checking']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",4.0,5,science
3,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['defined', 'in', 'the', 'specification', 'phase', 'a', 'prototype', 'stimulates', 'the', 'behavior', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product', 'meaning', 'the', 'role', 'of', 'a', 'prototype', 'is', 'a', 'temporary', 'solution', 'until', 'the', 'program', 'itself', 'is', 'refined', 'to', 'be', 'used', 'extensively', 'in', 'problem', 'solving']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",5.0,5,science
4,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['it', 'is', 'used', 'to', 'let', 'the', 'user', 'have', 'a', 'first', 'idea', 'of', 'the', 'completed', 'program', 'and', 'allow', 'the', 'client', 'to', 'evaluate', 'the', 'program', 'this', 'can', 'generate', 'much', 'feedback', 'including', 'software', 'specification', 'and', 'project', 'estimation', 'of', 'the', 'total', 'project']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",3.0,5,science
5,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['to', 'find', 'problem', 'and', 'error', 'in', 'a', 'program', 'before', 'it', 'is', 'finalized']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",2.0,5,science
6,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['to', 'address', 'major', 'issue', 'in', 'the', 'creation', 'of', 'the', 'program', 'there', 'is', 'no', 'way', 'to', 'account', 'for', 'all', 'possible', 'bug', 'in', 'the', 'program', 'but', 'it', 'is', 'possible', 'to', 'prove', 'the', 'program', 'is', 'tangible']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",2.5,5,science
7,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['you', 'can', 'break', 'the', 'whole', 'program', 'into', 'prototype', 'program', 'to', 'simulate', 'part', 'of', 'the', 'final', 'program']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",5.0,5,science
8,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,['name'],"['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",3.5,5,science
9,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['simulating', 'the', 'behavior', 'of', 'only', 'a', 'portion', 'of', 'the', 'desired', 'software', 'product']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",5.0,5,science
10,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['a', 'program', 'that', 'stimulates', 'the', 'behavior', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",5.0,5,science
11,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['a', 'program', 'that', 'simulates', 'the', 'behavior', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",5.0,5,science
12,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['to', 'lay', 'out', 'the', 'basic', 'and', 'give', 'you', 'a', 'starting', 'point', 'in', 'the', 'actual', 'problem', 'solving']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",2.0,5,science
13,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['to', 'simulate', 'problem', 'solving', 'for', 'part', 'of', 'the', 'problem']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",4.5,5,science
14,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['a', 'prototype', 'program', 'provides', 'a', 'basic', 'groundwork', 'from', 'which', 'to', 'further', 'enhance', 'and', 'improve', 'a', 'solution', 'to', 'a', 'problem']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",2.0,5,science
15,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['a', 'prototype', 'program', 'is', 'a', 'part', 'of', 'the', 'specification', 'phase', 'of', 'software', 'problem', 'solvin', 'it', 'employed', 'to', 'illustrate', 'how', 'the', 'key', 'problem', 'or', 'problem', 'will', 'be', 'solved', 'in', 'a', 'program', 'and', 'sometimes', 'serf', 'a', 'a', 'base', 'program', 'to', 'expand', 'upon']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",4.5,5,science
16,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['program', 'that', 'simulates', 'the', 'behavior', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",5.0,5,science
17,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['it', 'provides', 'a', 'limited', 'proof', 'of', 'concept', 'to', 'verify', 'with', 'the', 'client', 'before', 'actually', 'programming', 'the', 'whole', 'application']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",2.0,5,science
18,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['it', 'test', 'the', 'main', 'function', 'of', 'the', 'program', 'while', 'leaving', 'out', 'the', 'finer', 'detail']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",2.0,5,science
19,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['to', 'get', 'early', 'feedback', 'from', 'user', 'in', 'early', 'stage', 'of', 'development', 'to', 'show', 'user', 'a', 'first', 'idea', 'of', 'what', 'the', 'program', 'will', 'dolook', 'like', 'to', 'make', 'sure', 'the', 'program', 'will', 'meet', 'requirement', 'before', 'intense', 'programming', 'begin']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",2.5,5,science
20,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['it', 'simulates', 'the', 'behavior', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",5.0,5,science
21,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['it', 'simulates', 'the', 'behavior', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",5.0,5,science
22,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['a', 'prototype', 'program', 'is', 'used', 'in', 'problem', 'solving', 'to', 'collect', 'data', 'for', 'the', 'problem']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",1.5,5,science
23,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['to', 'ease', 'the', 'understanding', 'of', 'problem', 'under', 'discussion', 'and', 'to', 'ease', 'the', 'understanding', 'of', 'the', 'program', 'itself']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",2.5,5,science
24,"['what', 'is', 'the', 'role', 'of', 'a', 'prototype', 'program', 'in', 'problem', 'solving']",1.1,"['it', 'simulates', 'the', 'behavior', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']","['to', 'simulate', 'the', 'behaviour', 'of', 'portion', 'of', 'the', 'desired', 'software', 'product']",5.0,5,science
