row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain,dataset_name
4918,[],214,"['china', 'panda', 'and', 'australia', 'koala', 'are', 'two', 'anim', 'that', 'arent', 'predat', 'panda', 'eat', 'bamboo', 'and', 'koala', 'eat', 'eucalyptus', 'leav', 'therefor', 'they', 'are', 'harmless', 'they', 'are', 'both', 'differ', 'from', 'python', 'becaus', 'python', 'are', 'potentiali', 'danger', 'consid', 'they', 'can', 'swallow', 'an', 'entir', 'allig', 'you', 'could', 'conceiv', 'have', 'python', 'shack', 'upto', 'the', 'potomac']","['panda', 'in', 'china', 'and', 'koala', 'in', 'australia', 'are', 'similar', 'becaus', 'they', 'are', 'specialist', 'and', 'onli', 'eat', 'one', 'food', 'they', 'are', 'both', 'differ', 'from', 'python', 'becaus', 'python', 'are', 'generalist', 'the', 'python', 'can', 'live', 'almost', 'anywher', 'and', 'eat', 'a', 'varieti', 'of', 'thing', 'panda', 'can', 'onli', 'eat', 'noth', 'but', 'bamboo', 'and', 'koala', 'can', 'onli', 'eat', 'eucalyptus', 'leav', 'almost', 'exclus']",1.0,2.0,english_language_arts,ASAP_sas
4919,[],214,"['panda', 'and', 'koala', 'are', 'similar', 'becaus', 'they', 'are', 'both', 'describ', 'as', 'specialist', 'anim', 'becaus', 'they', 'onli', 'eat', 'one', 'food', 'exclus', 'no', 'chang', 'the', 'panda', 'and', 'koala', 'bear', 'a', 'differ', 'from', 'the', 'python', 'becaus', 'becaus', 'python', 'are', 'generalist', 'anim', 'that', 'migrat', 'and', 'can', 'adapt', 'to', 'the', 'climat', 'in', 'the', 'lower', 'state', 'while', 'the', 'panda', 'and', 'koala', 'bear', 'can', 'not']","['panda', 'in', 'china', 'and', 'koala', 'in', 'australia', 'are', 'similar', 'becaus', 'they', 'are', 'specialist', 'and', 'onli', 'eat', 'one', 'food', 'they', 'are', 'both', 'differ', 'from', 'python', 'becaus', 'python', 'are', 'generalist', 'the', 'python', 'can', 'live', 'almost', 'anywher', 'and', 'eat', 'a', 'varieti', 'of', 'thing', 'panda', 'can', 'onli', 'eat', 'noth', 'but', 'bamboo', 'and', 'koala', 'can', 'onli', 'eat', 'eucalyptus', 'leav', 'almost', 'exclus']",1.5,2.0,english_language_arts,ASAP_sas
4920,[],214,"['panda', 'in', 'china', 'and', 'koala', 'in', 'australia', 'are', 'similar', 'becaus', 'they', 'both', 'onli', 'feed', 'on', 'one', 'thing', 'panda', 'eat', 'bamboo', 'and', 'koala', 'eucalyptus', 'leav', 'unlik', 'python', 'which', 'eat', 'just', 'about', 'everyth', 'includ', 'alig']","['panda', 'in', 'china', 'and', 'koala', 'in', 'australia', 'are', 'similar', 'becaus', 'they', 'are', 'specialist', 'and', 'onli', 'eat', 'one', 'food', 'they', 'are', 'both', 'differ', 'from', 'python', 'becaus', 'python', 'are', 'generalist', 'the', 'python', 'can', 'live', 'almost', 'anywher', 'and', 'eat', 'a', 'varieti', 'of', 'thing', 'panda', 'can', 'onli', 'eat', 'noth', 'but', 'bamboo', 'and', 'koala', 'can', 'onli', 'eat', 'eucalyptus', 'leav', 'almost', 'exclus']",1.0,2.0,english_language_arts,ASAP_sas
4921,[],214,"['panda', 'in', 'china', 'onli', 'eat', 'bamboo', 'and', 'koala', 'in', 'australia', 'eat', 'exclus', 'eucalyptus', 'leav', 'they', 'are', 'both', 'restrict', 'to', 'one', 'food', 'while', 'python', 'eat', 'a', 'variti', 'of', 'food', 'potenti', 'harm', 'nativ', 'speci']","['panda', 'in', 'china', 'and', 'koala', 'in', 'australia', 'are', 'similar', 'becaus', 'they', 'are', 'specialist', 'and', 'onli', 'eat', 'one', 'food', 'they', 'are', 'both', 'differ', 'from', 'python', 'becaus', 'python', 'are', 'generalist', 'the', 'python', 'can', 'live', 'almost', 'anywher', 'and', 'eat', 'a', 'varieti', 'of', 'thing', 'panda', 'can', 'onli', 'eat', 'noth', 'but', 'bamboo', 'and', 'koala', 'can', 'onli', 'eat', 'eucalyptus', 'leav', 'almost', 'exclus']",1.5,2.0,english_language_arts,ASAP_sas
4922,[],214,"['panda', 'in', 'china', 'and', 'koala', 'from', 'australia', 'are', 'similar', 'becaus', 'they', 'are', 'both', 'specialist', 'they', 'both', 'are', 'differ', 'from', 'a', 'python', 'becaus', 'a', 'python', 'is', 'a', 'generalist']","['panda', 'in', 'china', 'and', 'koala', 'in', 'australia', 'are', 'similar', 'becaus', 'they', 'are', 'specialist', 'and', 'onli', 'eat', 'one', 'food', 'they', 'are', 'both', 'differ', 'from', 'python', 'becaus', 'python', 'are', 'generalist', 'the', 'python', 'can', 'live', 'almost', 'anywher', 'and', 'eat', 'a', 'varieti', 'of', 'thing', 'panda', 'can', 'onli', 'eat', 'noth', 'but', 'bamboo', 'and', 'koala', 'can', 'onli', 'eat', 'eucalyptus', 'leav', 'almost', 'exclus']",0.0,2.0,english_language_arts,ASAP_sas
4923,[],214,"['panda', 'are', 'similar', 'to', 'koala', 'becaus', 'they', 'are', 'both', 'specialist', 'and', 'a', 'python', 'is', 'a', 'generalist']","['panda', 'in', 'china', 'and', 'koala', 'in', 'australia', 'are', 'similar', 'becaus', 'they', 'are', 'specialist', 'and', 'onli', 'eat', 'one', 'food', 'they', 'are', 'both', 'differ', 'from', 'python', 'becaus', 'python', 'are', 'generalist', 'the', 'python', 'can', 'live', 'almost', 'anywher', 'and', 'eat', 'a', 'varieti', 'of', 'thing', 'panda', 'can', 'onli', 'eat', 'noth', 'but', 'bamboo', 'and', 'koala', 'can', 'onli', 'eat', 'eucalyptus', 'leav', 'almost', 'exclus']",1.0,2.0,english_language_arts,ASAP_sas
4924,[],214,"['panda', 'are', 'similar', 'to', 'koala', 'by', 'they', 'are', 'both', 'specialist', 'speci', 'they', 'onli', 'surviv', 'in', 'certain', 'condit', 'they', 'are', 'not', 'abl', 'to', 'adapt', 'veri', 'well', 'and', 'can', 'onli', 'eat', 'and', 'live', 'in', 'certain', 'climat', 'they', 'are', 'both', 'differ', 'form', 'python', 'by', 'they', 'are', 'not', 'reptil', 'also', 'a', 'python', 'is', 'a', 'generalist', 'speci', 'and', 'can', 'easili', 'adapt', 'to', 'chang', 'they', 'eat', 'a', 'varieti', 'of', 'food', 'and', 'accept', 'chang']","['panda', 'in', 'china', 'and', 'koala', 'in', 'australia', 'are', 'similar', 'becaus', 'they', 'are', 'specialist', 'and', 'onli', 'eat', 'one', 'food', 'they', 'are', 'both', 'differ', 'from', 'python', 'becaus', 'python', 'are', 'generalist', 'the', 'python', 'can', 'live', 'almost', 'anywher', 'and', 'eat', 'a', 'varieti', 'of', 'thing', 'panda', 'can', 'onli', 'eat', 'noth', 'but', 'bamboo', 'and', 'koala', 'can', 'onli', 'eat', 'eucalyptus', 'leav', 'almost', 'exclus']",1.5,2.0,english_language_arts,ASAP_sas
4925,[],214,"['panda', 'in', 'china', 'are', 'similar', 'to', 'koala', 'in', 'australia', 'becaus', 'they', 'both', 'are', 'specialist', 'in', 'the', 'articl', 'it', 'state', 'that', 'koala', 'bear', 'panda', 'eat', 'main', 'one', 'type', 'of', 'food', 'koala', 'eat', 'eucalyptus', 'leav', 'while', 'panda', 'eact', 'bamboo', 'they', 'are', 'both', 'differ', 'from', 'python', 'becaus', 'python', 'are', 'generalist', 'and', 'like', 'state', 'in', 'the', 'articl', 'they', 'can', 'adapt', 'to', 'anyth']","['panda', 'in', 'china', 'and', 'koala', 'in', 'australia', 'are', 'similar', 'becaus', 'they', 'are', 'specialist', 'and', 'onli', 'eat', 'one', 'food', 'they', 'are', 'both', 'differ', 'from', 'python', 'becaus', 'python', 'are', 'generalist', 'the', 'python', 'can', 'live', 'almost', 'anywher', 'and', 'eat', 'a', 'varieti', 'of', 'thing', 'panda', 'can', 'onli', 'eat', 'noth', 'but', 'bamboo', 'and', 'koala', 'can', 'onli', 'eat', 'eucalyptus', 'leav', 'almost', 'exclus']",1.0,2.0,english_language_arts,ASAP_sas
4926,[],214,"['panda', 'and', 'koala', 'are', 'similar', 'becaus', 'they', 'eat', 'main', 'one', 'type', 'of', 'food', 'for', 'them', 'panda', 'eat', 'bamboo', 'and', 'koala', 'eat', 'eucalyptus', 'leav', 'they', 'differ', 'from', 'a', 'python', 'becaus', 'python', 'can', 'eat', 'just', 'about', 'anythingon', 'even', 'attempt', 'an', 'allig']","['panda', 'in', 'china', 'and', 'koala', 'in', 'australia', 'are', 'similar', 'becaus', 'they', 'are', 'specialist', 'and', 'onli', 'eat', 'one', 'food', 'they', 'are', 'both', 'differ', 'from', 'python', 'becaus', 'python', 'are', 'generalist', 'the', 'python', 'can', 'live', 'almost', 'anywher', 'and', 'eat', 'a', 'varieti', 'of', 'thing', 'panda', 'can', 'onli', 'eat', 'noth', 'but', 'bamboo', 'and', 'koala', 'can', 'onli', 'eat', 'eucalyptus', 'leav', 'almost', 'exclus']",1.5,2.0,english_language_arts,ASAP_sas
4927,[],214,"['panda', 'are', 'similar', 'to', 'koala', 'due', 'to', 'their', 'veri', 'much', 'a', 'like', 'eat', 'habitsthey', 'both', 'eat', 'bamboo', 'and', 'occasion', 'bug', 'python', 'on', 'the', 'other', 'hand', 'arent', 'mammal', 'like', 'panda', 'koala', 'eat', 'most', 'rodent']","['panda', 'in', 'china', 'and', 'koala', 'in', 'australia', 'are', 'similar', 'becaus', 'they', 'are', 'specialist', 'and', 'onli', 'eat', 'one', 'food', 'they', 'are', 'both', 'differ', 'from', 'python', 'becaus', 'python', 'are', 'generalist', 'the', 'python', 'can', 'live', 'almost', 'anywher', 'and', 'eat', 'a', 'varieti', 'of', 'thing', 'panda', 'can', 'onli', 'eat', 'noth', 'but', 'bamboo', 'and', 'koala', 'can', 'onli', 'eat', 'eucalyptus', 'leav', 'almost', 'exclus']",0.5,2.0,english_language_arts,ASAP_sas
