row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain,dataset_name
10967,,216,"The mRNA travels to the ribosomes. At the ribosomes the mRNA is copied so that is can be used to create proteins.The copies mRNA is then used as instructions to create proteins.The proteins are made, using the instructions given.","First, the mRNA attaches to a ribosome and then the ribosome reads the mRNA in segments of three, called codons. For each codon, there is a complementary amino acid. Secondly, tRNA picks up the needed amino acids and brings them to the ribosome. Thirdy, the amino acids attach to each other and form a chain of amino acids according to the way in which the codons are read on the mRNA strand by the ribosome. The chain continues to form until the ribosome reaches the stop codon on the mRNA strand. Lastly, the ribosome disconnects from the mRNA strand and the protein is relased to perform its job in the cell.",1.0,3.0,biology,ASAP_sas
10968,,216,ATP is created and broken down.It is broken down when 2 phosphate groups don't connect with the third causing ADP.ADP can make ATP again by remaking itself.,"First, the mRNA attaches to a ribosome and then the ribosome reads the mRNA in segments of three, called codons. For each codon, there is a complementary amino acid. Secondly, tRNA picks up the needed amino acids and brings them to the ribosome. Thirdy, the amino acids attach to each other and form a chain of amino acids according to the way in which the codons are read on the mRNA strand by the ribosome. The chain continues to form until the ribosome reaches the stop codon on the mRNA strand. Lastly, the ribosome disconnects from the mRNA strand and the protein is relased to perform its job in the cell.",0.0,3.0,biology,ASAP_sas
10969,,216,The mRNA first gets on an electron transport chain.,"First, the mRNA attaches to a ribosome and then the ribosome reads the mRNA in segments of three, called codons. For each codon, there is a complementary amino acid. Secondly, tRNA picks up the needed amino acids and brings them to the ribosome. Thirdy, the amino acids attach to each other and form a chain of amino acids according to the way in which the codons are read on the mRNA strand by the ribosome. The chain continues to form until the ribosome reaches the stop codon on the mRNA strand. Lastly, the ribosome disconnects from the mRNA strand and the protein is relased to perform its job in the cell.",0.0,3.0,biology,ASAP_sas
10970,,216,"The mRNA then travels to the mitochondria, where it is then copied.Then one mRNA goes to the nucleus while the other goes to the ribosomes, where it transfers its infornmation to the organelle. The organelle then reads the infornmation and makes proteins.","First, the mRNA attaches to a ribosome and then the ribosome reads the mRNA in segments of three, called codons. For each codon, there is a complementary amino acid. Secondly, tRNA picks up the needed amino acids and brings them to the ribosome. Thirdy, the amino acids attach to each other and form a chain of amino acids according to the way in which the codons are read on the mRNA strand by the ribosome. The chain continues to form until the ribosome reaches the stop codon on the mRNA strand. Lastly, the ribosome disconnects from the mRNA strand and the protein is relased to perform its job in the cell.",0.0,3.0,biology,ASAP_sas
10971,,216,"First thing the mRNA does is go to the ribosome.  Next, the tRNA comes and decodes the first three nucleotides.  Then, the tRNA brings over the amino acid that matches the codon.  Last, the tRNA shifts over and the amino acids form peptide bonds with one another.","First, the mRNA attaches to a ribosome and then the ribosome reads the mRNA in segments of three, called codons. For each codon, there is a complementary amino acid. Secondly, tRNA picks up the needed amino acids and brings them to the ribosome. Thirdy, the amino acids attach to each other and form a chain of amino acids according to the way in which the codons are read on the mRNA strand by the ribosome. The chain continues to form until the ribosome reaches the stop codon on the mRNA strand. Lastly, the ribosome disconnects from the mRNA strand and the protein is relased to perform its job in the cell.",2.0,3.0,biology,ASAP_sas
10972,,216,goes to the er then golgi bodys,"First, the mRNA attaches to a ribosome and then the ribosome reads the mRNA in segments of three, called codons. For each codon, there is a complementary amino acid. Secondly, tRNA picks up the needed amino acids and brings them to the ribosome. Thirdy, the amino acids attach to each other and form a chain of amino acids according to the way in which the codons are read on the mRNA strand by the ribosome. The chain continues to form until the ribosome reaches the stop codon on the mRNA strand. Lastly, the ribosome disconnects from the mRNA strand and the protein is relased to perform its job in the cell.",1.0,3.0,biology,ASAP_sas
10973,,216,"messenger RNA collect  the protein particals inside the nucleus of the cell the the transport RNA comes by to collect those prteins in that cell and takes them to anothe rcell in the body so that, that part of the body can absorb those protein and use tem in the function of protein sythesis.","First, the mRNA attaches to a ribosome and then the ribosome reads the mRNA in segments of three, called codons. For each codon, there is a complementary amino acid. Secondly, tRNA picks up the needed amino acids and brings them to the ribosome. Thirdy, the amino acids attach to each other and form a chain of amino acids according to the way in which the codons are read on the mRNA strand by the ribosome. The chain continues to form until the ribosome reaches the stop codon on the mRNA strand. Lastly, the ribosome disconnects from the mRNA strand and the protein is relased to perform its job in the cell.",0.0,3.0,biology,ASAP_sas
10974,,216,Translation- The amino acid code is translatedTranscription- The amino acid code is readSynthesis-The protein is made Introduction- The code is given,"First, the mRNA attaches to a ribosome and then the ribosome reads the mRNA in segments of three, called codons. For each codon, there is a complementary amino acid. Secondly, tRNA picks up the needed amino acids and brings them to the ribosome. Thirdy, the amino acids attach to each other and form a chain of amino acids according to the way in which the codons are read on the mRNA strand by the ribosome. The chain continues to form until the ribosome reaches the stop codon on the mRNA strand. Lastly, the ribosome disconnects from the mRNA strand and the protein is relased to perform its job in the cell.",0.0,3.0,biology,ASAP_sas
10975,,216,1. The mRNA takes the copied information out into the cytoplasm.2. There tRNA brings in nucleotides to pair up with the mRNA inorder to make a copy of the DNA strand.3. An amino acid is then paired up with each set of three nucleotides.4. Once the process is completed it is used to make a protein.,"First, the mRNA attaches to a ribosome and then the ribosome reads the mRNA in segments of three, called codons. For each codon, there is a complementary amino acid. Secondly, tRNA picks up the needed amino acids and brings them to the ribosome. Thirdy, the amino acids attach to each other and form a chain of amino acids according to the way in which the codons are read on the mRNA strand by the ribosome. The chain continues to form until the ribosome reaches the stop codon on the mRNA strand. Lastly, the ribosome disconnects from the mRNA strand and the protein is relased to perform its job in the cell.",0.5,3.0,biology,ASAP_sas
10976,,216,first the mRNA leaves the cell nucleus and moves to the ribosome where tRNA finds complementary bases,"First, the mRNA attaches to a ribosome and then the ribosome reads the mRNA in segments of three, called codons. For each codon, there is a complementary amino acid. Secondly, tRNA picks up the needed amino acids and brings them to the ribosome. Thirdy, the amino acids attach to each other and form a chain of amino acids according to the way in which the codons are read on the mRNA strand by the ribosome. The chain continues to form until the ribosome reaches the stop codon on the mRNA strand. Lastly, the ribosome disconnects from the mRNA strand and the protein is relased to perform its job in the cell.",1.0,3.0,biology,ASAP_sas
