row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain,dataset_name,normalized_points
0," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,An artificial neural network is a massively parallel distributed processor with simple processing units that has the natural propensity to store experiential knowledge and make use of them. An artificial neural network is similar to the human brain in two ways: 1. The ANN works by the process of learning from its environment. 2. Interneuron connections called synaptic weights are used to store the knowledge gained.,"A neural network is a massively parallel distributed processor which is made up of simple processing units. It has a natural propensity for storing experiential knowledge. Neural networks resemble the brain in two aspects; knowledge is acquired by the network from its environment through a learning process, interneuron connection strength known as synaptic weights are used to store the acquired knowledge.",2,2.0,neural_networks,neural_course,1.0
1," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,Artificial neural network consists of: . Largely parallel distributed processor . simple processing units . that has ability to store the experential knowledge and making it available to use It resembles to human brain in two ways: . Knowledge is acquired from the environment by the network as learning process . Synaptic strengths called weights are used to store the knowledge,"A neural network is a massively parallel distributed processor which is made up of simple processing units. It has a natural propensity for storing experiential knowledge. Neural networks resemble the brain in two aspects; knowledge is acquired by the network from its environment through a learning process, interneuron connection strength known as synaptic weights are used to store the acquired knowledge.",2,2.0,neural_networks,neural_course,1.0
2," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,An artificial neural network is a massive distributed processor. It consists of several information processing units which are able to acquire and store knowledge.,"A neural network is a massively parallel distributed processor which is made up of simple processing units. It has a natural propensity for storing experiential knowledge. Neural networks resemble the brain in two aspects; knowledge is acquired by the network from its environment through a learning process, interneuron connection strength known as synaptic weights are used to store the acquired knowledge.",1,2.0,neural_networks,neural_course,0.5
3," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,"An ANN is a layered graphical model containing neurons and weighted connections, resembling the excitatory properties of the human brain. Weights of the ANN are changed after presenting it training examples from an environment, where weights are changed based on the training procedure used. Artificial neurons also are biased, just like real ones, adding a constant level of activation before being activated by a (nonlinear) activation function. Depending on the training procedure, both weights, topology or even activation functions may be learned.","A neural network is a massively parallel distributed processor which is made up of simple processing units. It has a natural propensity for storing experiential knowledge. Neural networks resemble the brain in two aspects; knowledge is acquired by the network from its environment through a learning process, interneuron connection strength known as synaptic weights are used to store the acquired knowledge.",2,2.0,neural_networks,neural_course,1.0
4," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,"Artificial Neural Networks are large parallel processing units that have the natural ability to learn experiential knowledge. They are composed of interconnected neurons as basic units; which in turn cosists of weights, squashing functions and adder functions. ANN resembles brain in the manner that like in human brain, it is composed of a network of neurons which help in learning by adjusting the synaptic weights of the connections between neurons. This enables it to learn experiential knowledge.","A neural network is a massively parallel distributed processor which is made up of simple processing units. It has a natural propensity for storing experiential knowledge. Neural networks resemble the brain in two aspects; knowledge is acquired by the network from its environment through a learning process, interneuron connection strength known as synaptic weights are used to store the acquired knowledge.",2,2.0,neural_networks,neural_course,1.0
5," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,"An articial neural network consists of neurons. Each neuron can have several weighted inputs, an activation function and output. Usually several neurons are connected together. Often in layers. The network then calculates the output given an input to the network. The human brain works in a similar way. It also consits of neurons that are connected in several ways.","A neural network is a massively parallel distributed processor which is made up of simple processing units. It has a natural propensity for storing experiential knowledge. Neural networks resemble the brain in two aspects; knowledge is acquired by the network from its environment through a learning process, interneuron connection strength known as synaptic weights are used to store the acquired knowledge.",1,2.0,neural_networks,neural_course,0.5
6," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,An ANN is a - massivly parallel distibuted Processor - made up of simple processing units - which have the capability of storing experiantal knowlenge - and is made up for use. An ANN resembles the brain because: 1) it gets its knowlenge through a learning process from its environment. 2) it stores its knowlenge in its interneuron connections (synaptic weights),"A neural network is a massively parallel distributed processor which is made up of simple processing units. It has a natural propensity for storing experiential knowledge. Neural networks resemble the brain in two aspects; knowledge is acquired by the network from its environment through a learning process, interneuron connection strength known as synaptic weights are used to store the acquired knowledge.",2,2.0,neural_networks,neural_course,1.0
7," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,A ANN is a massively distributed processor. It has the propensity to store experiental knowledge and make it available for use. The knowledge is gained throug a process of learning. The knowledge is stored in the weights between the neurons. This structure resembles the structure of the brain. Neurons are a the basic information unit in the ANN and act similiar to real neurons.,"A neural network is a massively parallel distributed processor which is made up of simple processing units. It has a natural propensity for storing experiential knowledge. Neural networks resemble the brain in two aspects; knowledge is acquired by the network from its environment through a learning process, interneuron connection strength known as synaptic weights are used to store the acquired knowledge.",2,2.0,neural_networks,neural_course,1.0
8," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,"An artificial neural network is defined as a learning machine which is divided by layers and each layer is composed by neurons. The neurons from different layers can be connected between each other, and give an output or multiple outputs by a given input. This structure is very similar with the neurological structure of our brain, where neurons are interconnected by synapses. Also important to mention, if a feature is really important for a given task, this wil have more connections and neurons participating (like in the human brain, the important humasn functions have more synapses).","A neural network is a massively parallel distributed processor which is made up of simple processing units. It has a natural propensity for storing experiential knowledge. Neural networks resemble the brain in two aspects; knowledge is acquired by the network from its environment through a learning process, interneuron connection strength known as synaptic weights are used to store the acquired knowledge.",2,2.0,neural_networks,neural_course,1.0
9," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,An artificial neural network is a graph of small and identical processing units that these small units called neurons and they are connected to each other in different architectures and the whole network adapt and itself to the environment inputs by trying to decrease the error or the cost function and increase its preciseness by manipulating the free variables of the network which are the synaptic weights. It is similar to human brain because similar to the human brain we have many small processing units that are connected together and they react to the environment and learn from the environment.,"A neural network is a massively parallel distributed processor which is made up of simple processing units. It has a natural propensity for storing experiential knowledge. Neural networks resemble the brain in two aspects; knowledge is acquired by the network from its environment through a learning process, interneuron connection strength known as synaptic weights are used to store the acquired knowledge.",2,2.0,neural_networks,neural_course,1.0
