row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain,dataset_name
0," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,an artificial neural network is a massively parallel distributed processor with simple processing units that has the natural propensity to store experiential knowledge and make use of them an artificial neural network is similar to the human brain in two ways 1 the ann works by the process of learning from its environment 2 interferon connections called synaptic weights are used to store the knowledge gained,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2.0,2.0,neural_networks,neural_course
1," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,artificial neural network consists of largely parallel distributed processor simple processing units that has ability to store the experiential knowledge and making it available to use it resembles to human brain in two ways knowledge is acquired from the environment by the network as learning process synaptic strengths called weights are used to store the knowledge,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2.0,2.0,neural_networks,neural_course
2," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,an artificial neural network is a massive distributed processor it consists of several information processing units which are able to acquire and store knowledge,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,1.0,2.0,neural_networks,neural_course
3," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,an ann is a layered graphical model containing neurons and weighted connections resembling the excitatory properties of the human brain weights of the ann are changed after presenting it training examples from an environment where weights are changed based on the training procedure used artificial neurons also are biased just like real ones adding a constant level of activation before being activated by a nonlinear activation function depending on the training procedure both weights topology or even activation functions may be learned,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2.0,2.0,neural_networks,neural_course
4," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,artificial neural networks are large parallel processing units that have the natural ability to learn experiential knowledge they are composed of interconnected neurons as basic units which in turn consists of weights squashing functions and adder functions ann resembles brain in the manner that like in human brain it is composed of a network of neurons which help in learning by adjusting the synaptic weights of the connections between neurons this enables it to learn experiential knowledge,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2.0,2.0,neural_networks,neural_course
5," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,an artificial neural network consists of neurons each neuron can have several weighted inputs an activation function and output usually several neurons are connected together often in layers the network then calculates the output given an input to the network the human brain works in a similar way it also consists of neurons that are connected in several ways,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,1.0,2.0,neural_networks,neural_course
6," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,an ann is a massively parallel distributed processor made up of simple processing units which have the capability of storing experimental knowledge and is made up for use an ann resembles the brain because 1 it gets its knowledge through a learning process from its environment 2 it stores its knowledge in its interferon connections synaptic weights,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2.0,2.0,neural_networks,neural_course
7," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,a ann is a massively distributed processor it has the propensity to store experimental knowledge and make it available for use the knowledge is gained throug a process of learning the knowledge is stored in the weights between the neurons this structure resembles the structure of the brain neurons are a the basic information unit in the ann and act similar to real neurons,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2.0,2.0,neural_networks,neural_course
8," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,an artificial neural network is defined as a learning machine which is divided by layers and each layer is composed by neurons the neurons from different layers can be connected between each other and give an output or multiple outputs by a given input this structure is very similar with the neurological structure of our brain where neurons are interconnected by synapses also important to mention if a feature is really important for a given task this wil have more connections and neurons participating like in the human brain the important human functions have more synapses,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2.0,2.0,neural_networks,neural_course
9," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,an artificial neural network is a graph of small and identical processing units that these small units called neurons and they are connected to each other in different architecture and the whole network adapt and itself to the environment inputs by trying to decrease the error or the cost function and increase its preciseness by manipulating the free variables of the network which are the synaptic weights it is similar to human brain because similar to the human brain we have many small processing units that are connected together and they react to the environment and learn from the environment,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2.0,2.0,neural_networks,neural_course
10," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,artificial neural network is highly parallel processing it has a mathematical model similar to human brain which it was inspired from as human brain does computation in an extremely parallel manner similarities also lay in terminology ann is using neurons that are smallest computing unit of a network similarly to human brain,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,1.0,2.0,neural_networks,neural_course
11," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,it is a massive parallel distributed processor made up of smaller processing units that acquire knowledge through the environment through a learning process and makes it available for use it resembles the brain in two ways knowledge is acquired through a stimulating process in the environment the knowledge is embedded in the synaptic links weights of the neurons,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2.0,2.0,neural_networks,neural_course
12," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,ann is a learning machine which is composed of neurons as units of computation the ann learns via interacting with its environment the ann has building capacity to dynamically adapt upon input stimulus the ann is motivated from biological brain and resembles human brain in terms of its localized representation for the inputs in terms of motor cortex the sensory stimulus to different bodyparts activates local part of the brain similar to ann local representation of similar type of input,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2.0,2.0,neural_networks,neural_course
13," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,a neural network is a massively parallel distributed processor made up for simple processing units that has a natural propensity for storing experiential knowledge and making it available for use it resembles the brain in two respects knowledge is acquired by the network from its environment through the learning process interferon connection strengths known as synaptic weights are used to stor the acquired knowledge,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2.0,2.0,neural_networks,neural_course
14," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,artificial neural network is a massively parallel distributed processor which consists of one or more processing unit called neuron it resembles the human brain for that it acquires knowledge from the environment through learning process and that the acquired knowledge is stored in the synapses,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2.0,2.0,neural_networks,neural_course
15," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,definition 1 artificial neural networks are massively distributed parallel processor 2 it is made up of small units 3 which has the propensity for storing the experiential knowledge 4 and making it available for use it resembles the brain in 2 aspects 1 similar to the brain artificial neural network does the process of learning from the environment 2 it as a pair of inter neuron links known as the synaptic weights which is used for storing the information,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2.0,2.0,neural_networks,neural_course
16," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,artificial neural network is massive parallel distributed processor it comprises of small processing units called neurons it learns from experiential knowledge which is then stored and can be used for making predictions it resembles human brain in 2 ways it learns from experiential knowledge knowledge is stored in synaptic interferon connections,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2.0,2.0,neural_networks,neural_course
17," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,here artificial neural network is a massively distributed parallel processor which is composed of simple processing units called neurons which have the natural propensity for storing experiential information and making it available for use it resembles the human brain in the following aspects knowledge is acquired by the network from its environment through a learning process synaptic links are used to store the acquired knowledge,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2.0,2.0,neural_networks,neural_course
18," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,ann is a learning machine which can perform complex parallel computation it has the ability to learn through the interactions withthe environment and store the learned knowledge it resembles the human brain in performing complex learning tasks acquiring information adapting to the environment and exploiting the acquired information,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2.0,2.0,neural_networks,neural_course
19," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,an artificial neural network is a massively distributed parallel processor made up of simple processing units that have the natural propensity for storing experimental knowledge and making it available for future use it resembles the brain in the following ways 1 artificial neural networks have the ability to acquire knowledge from the environment in which they are are embedded 2 interferon connection strengths called synaptic links activate each neuron during the learning process,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2.0,2.0,neural_networks,neural_course
20," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,an artificial neural network is a massively parallel distributed processor which interacts with its surrounding environment with a propensity to store knowledge and make it available to use it resembles the brain in two aspects 1 it has the ability to learn from its environment 2 the knowledge is stored in synaptic weights,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2.0,2.0,neural_networks,neural_course
21," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,artificial neural network is massively distributed parallel processor containing simple processing units and has natural propensity to store experiential knowledge and use tit resembles the human brain in two aspects it gains knowledge from the environment and adapts the synaptic weight to store the knowledge,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2.0,2.0,neural_networks,neural_course
22," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,it is a massively parallel distributed processor consisting of simple processing units which can store experiential knowledge and make it available for use it resembles the human brain in 2 ways 1 knowledge is acquired from environment through a learning process 2 interferon connections are used to store the experiential knowledge,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2.0,2.0,neural_networks,neural_course
23," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,artificial neural network is a massively parallel distributed processor that is made up of simple processing units called neuron it can replicate human brain by storing information in their weights,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,1.0,2.0,neural_networks,neural_course
24," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,artificial neural network is a massively parallel distributed processor with synaptic links that can able to store experimental knowledge and make it available for use it resembles human brain in two ways knowledge is acquired by the neural network from its environment through learning process interferon connection called synaptic links stores the acquired knowledge,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,2.0,2.0,neural_networks,neural_course
25," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!",222,artificial neural network are the network of the units that learn data from the environment and store them using synaptic weights the structure of the artificial neural network is similar to human brain it has neurons ie the store units and the atoms called synapses which link the stored data,a neural network is a massively parallel distributed processor which is made up of simple processing units it has a natural propensity for storing experiential knowledge neural networks resemble the brain in two aspects knowledge is acquired by the network from its environment through a learning process interferon connection strength known as synaptic weights are used to store the acquired knowledge,1.0,2.0,neural_networks,neural_course
