row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain,dataset_name,normalized_points
0,What is the role of a prototype program in problem solving?,131,"['high', 'risk', 'problem', 'address', 'prototype', 'program', 'make', 'sure', 'program', 'feasible', 'prototype', 'may', 'also', 'used', 'show', 'company', 'software', 'possibly', 'programmed']","['simulate', 'behaviour', 'portion', 'desired', 'software', 'product']",4,5.0,science,texas,0.8
1,What is the role of a prototype program in problem solving?,131,"['simulate', 'portion', 'desired', 'final', 'product', 'quick', 'easy', 'program', 'small', 'specific', 'job', 'way', 'help', 'see', 'problem', 'may', 'solve', 'final', 'project']","['simulate', 'behaviour', 'portion', 'desired', 'software', 'product']",5,5.0,science,texas,1.0
2,What is the role of a prototype program in problem solving?,131,"['prototype', 'program', 'simulates', 'behavior', 'portion', 'desired', 'software', 'product', 'allow', 'error', 'checking']","['simulate', 'behaviour', 'portion', 'desired', 'software', 'product']",4,5.0,science,texas,0.8
3,What is the role of a prototype program in problem solving?,131,"['defined', 'specification', 'phase', 'prototype', 'stimulates', 'behavior', 'portion', 'desired', 'software', 'product', 'meaning', 'role', 'prototype', 'temporary', 'solution', 'program', 'refined', 'used', 'extensively', 'problem', 'solving']","['simulate', 'behaviour', 'portion', 'desired', 'software', 'product']",5,5.0,science,texas,1.0
4,What is the role of a prototype program in problem solving?,131,"['used', 'let', 'user', 'first', 'idea', 'completed', 'program', 'allow', 'client', 'evaluate', 'program', 'generate', 'much', 'feedback', 'including', 'software', 'specification', 'project', 'estimation', 'total', 'project']","['simulate', 'behaviour', 'portion', 'desired', 'software', 'product']",3,5.0,science,texas,0.6
5,What is the role of a prototype program in problem solving?,131,"['find', 'problem', 'error', 'program', 'finalized']","['simulate', 'behaviour', 'portion', 'desired', 'software', 'product']",2,5.0,science,texas,0.4
6,What is the role of a prototype program in problem solving?,131,"['address', 'major', 'issue', 'creation', 'program', 'way', 'account', 'possible', 'bug', 'program', 'possible', 'prove', 'program', 'tangible']","['simulate', 'behaviour', 'portion', 'desired', 'software', 'product']",2,5.0,science,texas,0.4
7,What is the role of a prototype program in problem solving?,131,"['break', 'whole', 'program', 'prototype', 'program', 'simulate', 'part', 'final', 'program']","['simulate', 'behaviour', 'portion', 'desired', 'software', 'product']",5,5.0,science,texas,1.0
8,What is the role of a prototype program in problem solving?,131,['name'],"['simulate', 'behaviour', 'portion', 'desired', 'software', 'product']",4,5.0,science,texas,0.8
9,What is the role of a prototype program in problem solving?,131,"['simulating', 'behavior', 'portion', 'desired', 'software', 'product']","['simulate', 'behaviour', 'portion', 'desired', 'software', 'product']",5,5.0,science,texas,1.0
10,What is the role of a prototype program in problem solving?,131,"['program', 'stimulates', 'behavior', 'portion', 'desired', 'software', 'product']","['simulate', 'behaviour', 'portion', 'desired', 'software', 'product']",5,5.0,science,texas,1.0
11,What is the role of a prototype program in problem solving?,131,"['program', 'simulates', 'behavior', 'portion', 'desired', 'software', 'product']","['simulate', 'behaviour', 'portion', 'desired', 'software', 'product']",5,5.0,science,texas,1.0
12,What is the role of a prototype program in problem solving?,131,"['lay', 'basic', 'give', 'starting', 'point', 'actual', 'problem', 'solving']","['simulate', 'behaviour', 'portion', 'desired', 'software', 'product']",2,5.0,science,texas,0.4
13,What is the role of a prototype program in problem solving?,131,"['simulate', 'problem', 'solving', 'part', 'problem']","['simulate', 'behaviour', 'portion', 'desired', 'software', 'product']",4,5.0,science,texas,0.8
